"DisMod II input and output, database Australia",,,,,,,,,,,,,,,
"Females, Disease: breast cancer (Rates * ), sex: Females",,,,,,,,,,,,,,,
"Written 27/07/2020, 4:57:06 PM",,,,,,,,,,,,,,,
Age,Incidence (rates),Prevalence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years),,Incidence AIHW,Prevalence AIHW
0,0,0,0,0,0,0,0,0.0058,55.8351,0,30.6206,0.5,,0,0
1,0,0,0,0,0,0,0,0.0058,55.1696,0,29.8192,1.5,,0,0
2,0,0,0,0,0,0,0,0.0058,54.4986,0,28.8856,2.5,,0,0
3,0,0,0,0,0,0,0,0.0056,53.8167,0,27.4372,3.5,,0,0
4,0,0,0,0,0,0,0,0.0054,53.1208,0,26.2562,4.5,,0,0
5,0,0,0,0,0,0,0,0.0052,52.4107,0,24.9851,5.5,,0,0
6,0,0,0,0,0,0,0,0.0049,51.6843,0,23.6049,6.5,,0,0
7,0,0,0,0,0,0,0,0.0046,50.9399,0,22.1919,7.5,,0,0
8,0,0,0,0,0,0,0,0.0044,50.178,0,20.9269,8.5,,0,0
9,0,0,0,0,0,0,0,0.0041,49.3997,0,19.7919,9.5,,0,0
10,0,0,0,0,0,0,0,0.0039,48.6066,0,18.7722,10.5,,0,0
11,0,0,0,0,0,0,0,0.0037,47.7998,0,17.8564,11.5,,0,0
12,0,0,0,0,0,0.0001,0,0.0035,46.9806,0,17.0349,12.5,,0,0
13,0,0,0,0,0,0.0001,0,0.0034,46.1511,0,16.4419,13.5,,0,0
14,0,0,0,0,0,0.0001,0,0.0033,45.3132,0,15.9752,14.5,,0,0
15,0,0,0,0,0,0.0001,0,0.0032,44.4687,0,15.6285,15.5,,0,0
16,0,0,0,0,0,0.0001,0,0.0032,43.619,0,15.395,16.5,,0,0
17,0,0,0,0,0,0.0001,0,0.0032,42.7655,0,15.2669,17.5,,0,0.0001
18,0,0,0,0,0,0.0001,0,0.0032,41.9096,0,15.235,18.5,,0,0.0001
19,0,0,0,0,0,0.0001,0,0.0036,41.059,0,16.6645,19.5,,0,0.0001
20,0,0.0001,0,0,0,0.0001,0,0.0042,40.2268,0,19.3354,20.5,,0,0.0001
21,0,0.0001,0,0,0,0.0001,0,0.0052,39.4248,0,23.1344,21.5,,0,0.0001
22,0,0.0001,0,0,0,0.0001,0,0.0065,38.6641,0,27.9126,22.5,,0,0.0001
