"DisMod II input and output, database Australia-AIHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Females, Disease: Breast cancer (Rates * ), sex: Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 28/07/2020, 2:54:06 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","",""
"0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","59.6476","0.0000","0.0000","0.5000","","","","","","","","","","","","","","","","","",""
"1","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","58.7460","0.0000","0.0000","1.5000","","","","","","","","","","","","","","","","","",""
"2","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","57.7568","0.0000","0.0000","2.5000","","","","","","","","","","","","","","","","","",""
"3","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","56.7644","0.0000","0.0000","3.5000","","","","","","","","","","","","","","","","","",""
"4","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","55.7699","0.0000","0.0000","4.5000","","","","","","","","","","","","","","","","","",""
"5","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","54.7743","0.0000","0.0000","5.5000","","","","","","","","","","","","","","","","","",""
"6","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","53.7784","0.0000","0.0000","6.5000","","","","","","","","","","","","","","","","","",""
"7","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","52.7818","0.0000","0.0000","7.5000","","","","","","","","","","","","","","","","","",""
"8","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","51.7852","0.0000","1.0000","8.5000","","","","","","","","","","","","","","","","","",""
"9","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","50.7893","0.0000","1.0000","9.5000","","","","","","","","","","","","","","","","","",""
"10","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","49.7928","0.0000","0.0000","10.5000","","","","","","","","","","","","","","","","","",""
"11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","48.7948","0.0000","1.0000","11.5000","","","","","","","","","","","","","","","","","",""
"12","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","47.7970","0.0000","0.0000","12.5000","","","","","","","","","","","","","","","","","",""
"13","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0003","46.8092","0.0000","3.7717","13.5000","","","","","","","","","","","","","","","","","",""
"14","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0010","45.8461","0.0000","9.7911","14.5000","","","","","","","","","","","","","","","","","",""
"15","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0020","44.9216","0.0000","13.7935","15.5000","","","","","","","","","","","","","","","","","",""
"16","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0034","44.0512","0.0000","15.1196","16.5000","","","","","","","","","","","","","","","","","",""
"17","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0051","43.2464","0.0000","24.6869","17.5000","","","","","","","","","","","","","","","","","",""
"18","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0071","42.5170","0.0000","39.7755","18.5000","","","","","","","","","","","","","","","","","",""
"19","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0093","41.8735","0.0000","38.5197","19.5000","","","","","","","","","","","","","","","","","",""
"20","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0114","41.3135","0.0000","57.1910","20.5000","","","","","","","","","","","","","","","","","",""
"21","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0132","40.8277","0.0000","57.4716","21.5000","","","","","","","","","","","","","","","","","",""
"22","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0149","40.4086","0.0000","67.4551","22.5000","","","","","","","","","","","","","","","","","",""
"23","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0164","40.0471","0.0000","96.7104","23.5000","","","","","","","","","","","","","","","","","",""
"24","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0178","39.7366","0.0000","90.9102","24.5000","","","","","","","","","","","","","","","","","",""
"25","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0188","39.4697","0.0000","64.5548","25.5000","","","","","","","","","","","","","","","","","",""
"26","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0196","39.2342","0.0000","86.9266","26.5000","","","","","","","","","","","","","","","","","",""
"27","0.0001","0.0000","0.0000","0.0001","0.0002","0.0000","0.0202","39.0221","0.0000","78.5885","27.5000","","","","","","","","","","","","","","","","","",""
"28","0.0001","0.0000","0.0000","0.0001","0.0002","0.0000","0.0207","38.8277","0.0000","84.5672","28.5000","","","","","","","","","","","","","","","","","",""
"29","0.0001","0.0000","0.0000","0.0001","0.0003","0.0000","0.0210","38.6441","0.0000","77.5443","29.5000","","","","","","","","","","","","","","","","","",""
"30","0.0003","0.0000","0.0000","0.0002","0.0004","0.0000","0.0211","38.4646","0.0000","79.0652","30.5000","","","","","","","","","","","","","","","","","",""
"31","0.0003","0.0000","0.0000","0.0002","0.0006","0.0000","0.0209","38.2802","0.0000","67.2150","31.5000","","","","","","","","","","","","","","","","","",""
"32","0.0003","0.0000","0.0000","0.0003","0.0008","0.0000","0.0205","38.0835","0.0000","55.3370","32.5000","","","","","","","","","","","","","","","","","",""
"33","0.0003","0.0000","0.0000","0.0003","0.0011","0.0000","0.0201","37.8674","0.0000","59.6785","33.5000","","","","","","","","","","","","","","","","","",""
"34","0.0003","0.0000","0.0000","0.0004","0.0014","0.0000","0.0195","37.6293","0.0000","36.8563","34.5000","","","","","","","","","","","","","","","","","",""
"35","0.0006","0.0000","0.0000","0.0004","0.0018","0.0000","0.0187","37.3645","0.0000","35.7534","35.5000","","","","","","","","","","","","","","","","","",""
"36","0.0006","0.0000","0.0000","0.0005","0.0022","0.0000","0.0179","37.0634","0.0000","35.8829","36.5000","","","","","","","","","","","","","","","","","",""
"37","0.0006","0.0000","0.0000","0.0006","0.0027","0.0000","0.0170","36.7229","0.0000","34.4207","37.5000","","","","","","","","","","","","","","","","","",""
"38","0.0006","0.0000","0.0000","0.0007","0.0033","0.0000","0.0162","36.3469","0.0001","27.8542","38.5000","","","","","","","","","","","","","","","","","",""
"39","0.0006","0.0000","0.0000","0.0008","0.0039","0.0000","0.0155","35.9419","0.0001","22.9146","39.5000","","","","","","","","","","","","","","","","","",""
"40","0.0013","0.0000","0.0001","0.0009","0.0047","0.0000","0.0150","35.5118","0.0001","19.6748","40.5000","","","","","","","","","","","","","","","","","",""
"41","0.0013","0.0000","0.0001","0.0010","0.0055","0.0000","0.0146","35.0578","0.0001","20.8818","41.5000","","","","","","","","","","","","","","","","","",""
"42","0.0013","0.0000","0.0001","0.0011","0.0065","0.0000","0.0143","34.5856","0.0001","16.5398","42.5000","","","","","","","","","","","","","","","","","",""
"43","0.0013","0.0000","0.0001","0.0013","0.0076","0.0000","0.0140","34.0988","0.0001","17.3143","43.5000","","","","","","","","","","","","","","","","","",""
"44","0.0013","0.0000","0.0001","0.0014","0.0088","0.0000","0.0138","33.5986","0.0001","13.6449","44.5000","","","","","","","","","","","","","","","","","",""
"45","0.0021","0.0000","0.0002","0.0016","0.0101","0.0000","0.0135","33.0855","0.0001","12.9296","45.5000","","","","","","","","","","","","","","","","","",""
"46","0.0021","0.0000","0.0002","0.0017","0.0116","0.0000","0.0131","32.5570","0.0002","11.1838","46.5000","","","","","","","","","","","","","","","","","",""
"47","0.0021","0.0000","0.0002","0.0019","0.0132","0.0000","0.0127","32.0100","0.0002","11.5359","47.5000","","","","","","","","","","","","","","","","","",""
"48","0.0021","0.0000","0.0002","0.0020","0.0149","0.0000","0.0123","31.4461","0.0002","8.9417","48.5000","","","","","","","","","","","","","","","","","",""
"49","0.0021","0.0000","0.0002","0.0022","0.0168","0.0000","0.0119","30.8657","0.0002","8.8029","49.5000","","","","","","","","","","","","","","","","","",""
"50","0.0027","0.0000","0.0003","0.0023","0.0188","0.0000","0.0115","30.2681","0.0002","7.3807","50.5000","","","","","","","","","","","","","","","","","",""
