"DisMod II input and output, database Australia","","","","","","","","","","","",""
"Females, Disease: colon and rectum cancer (Rates * ), sex: Females","","","","","","","","","","","",""
"Written 27/07/2020, 5:04:40 PM","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0123","59.0782","0.0000","63.7273","0.5000"
"1","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0123","58.8173","0.0000","62.0300","1.5000"
"2","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0122","58.5491","0.0000","59.9887","2.5000"
"3","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0117","58.2599","0.0000","56.7150","3.5000"
"4","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0113","57.9416","0.0000","54.0395","4.5000"
"5","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0108","57.5929","0.0000","51.1319","5.5000"
"6","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0102","57.2080","0.0000","47.9512","6.5000"
"7","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0095","56.7825","0.0000","44.6954","7.5000"
"8","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0089","56.3165","0.0000","41.7895","8.5000"
"9","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0084","55.8132","0.0000","39.1947","9.5000"
"10","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0079","55.2756","0.0000","36.8800","10.5000"
"11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0074","54.7071","0.0000","34.8212","11.5000"
"12","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0070","54.1106","0.0000","32.9992","12.5000"
"13","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0067","53.4905","0.0000","31.5885","13.5000"
"14","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0064","52.8507","0.0000","30.3374","14.5000"
"15","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0062","52.1936","0.0000","29.2349","15.5000"
"16","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0060","51.5215","0.0000","28.2706","16.5000"
"17","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0059","50.8369","0.0000","27.4344","17.5000"
"18","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0058","50.1419","0.0000","26.7155","18.5000"
"19","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0057","49.4390","0.0000","26.1320","19.5000"
"20","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0057","48.7297","0.0000","25.4897","20.5000"
"21","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0056","48.0142","0.0000","24.7825","21.5000"
"22","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0056","47.2932","0.0000","24.0059","22.5000"
"23","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0056","46.5668","0.0000","23.1617","23.5000"
"24","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0056","45.8356","0.0000","22.2703","24.5000"
"25","0.0000","0.0002","0.0000","0.0000","0.0000","0.0002","0.0000","0.0055","45.0986","0.0000","21.1424","25.5000"
"26","0.0000","0.0002","0.0000","0.0000","0.0000","0.0002","0.0000","0.0054","44.3534","0.0000","19.8022","26.5000"
"27","0.0000","0.0002","0.0000","0.0000","0.0000","0.0002","0.0000","0.0052","43.5977","0.0000","18.2992","27.5000"
"28","0.0000","0.0002","0.0000","0.0000","0.0000","0.0002","0.0000","0.0049","42.8292","0.0000","16.6739","28.5000"
"29","0.0000","0.0002","0.0000","0.0000","0.0000","0.0003","0.0000","0.0046","42.0456","0.0000","14.9448","29.5000"
"30","0.0001","0.0005","0.0000","0.0000","0.0000","0.0003","0.0000","0.0043","41.2451","0.0000","13.1319","30.5000"
"31","0.0001","0.0005","0.0000","0.0000","0.0001","0.0004","0.0000","0.0039","40.4270","0.0000","11.4171","31.5000"
"32","0.0001","0.0005","0.0000","0.0000","0.0001","0.0004","0.0000","0.0036","39.5930","0.0000","9.9475","32.5000"
"33","0.0001","0.0005","0.0000","0.0000","0.0001","0.0005","0.0000","0.0034","38.7461","0.0000","8.7036","33.5000"
"34","0.0001","0.0005","0.0000","0.0000","0.0001","0.0006","0.0000","0.0032","37.8890","0.0000","7.6830","34.5000"
"35","0.0001","0.0009","0.0000","0.0000","0.0001","0.0006","0.0000","0.0031","37.0244","0.0000","6.8753","35.5000"
"36","0.0001","0.0009","0.0000","0.0000","0.0001","0.0007","0.0000","0.0030","36.1546","0.0000","6.2621","36.5000"
"37","0.0001","0.0009","0.0000","0.0000","0.0001","0.0009","0.0000","0.0030","35.2826","0.0000","5.8803","37.5000"
"38","0.0001","0.0009","0.0000","0.0000","0.0001","0.0010","0.0000","0.0031","34.4105","0.0000","5.6071","38.5000"
"39","0.0001","0.0009","0.0000","0.0000","0.0001","0.0011","0.0000","0.0032","33.5395","0.0000","5.4158","39.5000"
"40","0.0002","0.0014","0.0000","0.0000","0.0002","0.0012","0.0000","0.0033","32.6705","0.0000","5.2808","40.5000"
"41","0.0002","0.0014","0.0000","0.0000","0.0002","0.0014","0.0000","0.0034","31.8045","0.0000","5.1803","41.5000"
"42","0.0002","0.0014","0.0000","0.0000","0.0002","0.0016","0.0000","0.0036","30.9426","0.0000","5.0948","42.5000"
"43","0.0002","0.0014","0.0000","0.0000","0.0002","0.0018","0.0000","0.0039","30.0863","0.0000","5.0545","43.5000"
"44","0.0002","0.0014","0.0000","0.0000","0.0002","0.0020","0.0000","0.0042","29.2372","0.0000","5.0149","44.5000"
"45","0.0004","0.0025","0.0000","0.0000","0.0003","0.0022","0.0000","0.0046","28.3965","0.0000","4.9786","45.5000"
"46","0.0004","0.0025","0.0000","0.0000","0.0003","0.0025","0.0000","0.0050","27.5648","0.0000","4.9488","46.5000"
"47","0.0004","0.0025","0.0000","0.0000","0.0003","0.0028","0.0000","0.0055","26.7428","0.0000","4.9298","47.5000"
"48","0.0004","0.0025","0.0000","0.0000","0.0003","0.0031","0.0000","0.0060","25.9311","0.0000","4.9246","48.5000"
"49","0.0004","0.0025","0.0000","0.0000","0.0004","0.0034","0.0000","0.0065","25.1305","0.0000","4.9510","49.5000"
"50","0.0005","0.0038","0.0000","0.0000","0.0004","0.0038","0.0000","0.0071","24.3415","0.0000","4.9757","50.5000"
"51","0.0005","0.0038","0.0000","0.0000","0.0005","0.0042","0.0000","0.0078","23.5640","0.0000","4.9966","51.5000"
"52","0.0005","0.0038","0.0000","0.0000","0.0005","0.0047","0.0000","0.0085","22.7981","0.0000","5.0117","52.5000"
"53","0.0005","0.0038","0.0000","0.0000","0.0005","0.0051","0.0000","0.0092","22.0436","0.0000","5.0191","53.5000"
"54","0.0005","0.0038","0.0000","0.0000","0.0006","0.0056","0.0000","0.0099","21.3003","0.0001","5.0177","54.5000"
"55","0.0008","0.0053","0.0000","0.0001","0.0006","0.0062","0.0000","0.0108","20.5689","0.0001","5.0389","55.5000"
"56","0.0008","0.0053","0.0000","0.0001","0.0007","0.0068","0.0000","0.0117","19.8505","0.0001","5.0627","56.5000"
"57","0.0008","0.0053","0.0000","0.0001","0.0007","0.0074","0.0000","0.0128","19.1457","0.0001","5.0845","57.5000"
"58","0.0008","0.0053","0.0000","0.0001","0.0008","0.0081","0.0000","0.0139","18.4551","0.0001","5.1007","58.5000"
"59","0.0008","0.0053","0.0000","0.0001","0.0009","0.0088","0.0000","0.0151","17.7791","0.0001","5.1094","59.5000"
"60","0.0011","0.0077","0.0000","0.0002","0.0010","0.0096","0.0000","0.0164","17.1179","0.0002","5.1095","60.5000"
"61","0.0011","0.0077","0.0000","0.0002","0.0010","0.0104","0.0000","0.0178","16.4721","0.0002","5.1134","61.5000"
"62","0.0011","0.0077","0.0000","0.0002","0.0011","0.0112","0.0000","0.0193","15.8420","0.0002","5.0993","62.5000"
"63","0.0011","0.0077","0.0000","0.0002","0.0012","0.0121","0.0000","0.0209","15.2271","0.0003","5.0683","63.5000"
"64","0.0011","0.0077","0.0000","0.0002","0.0013","0.0131","0.0000","0.0225","14.6269","0.0003","5.0192","64.5000"
"65","0.0016","0.0107","0.0000","0.0005","0.0014","0.0141","0.0000","0.0242","14.0408","0.0003","4.9507","65.5000"
"66","0.0016","0.0107","0.0000","0.0005","0.0015","0.0152","0.0000","0.0259","13.4683","0.0004","4.8616","66.5000"
"67","0.0016","0.0107","0.0000","0.0005","0.0016","0.0162","0.0000","0.0278","12.9095","0.0005","4.7588","67.5000"
"68","0.0016","0.0107","0.0000","0.0005","0.0017","0.0174","0.0000","0.0297","12.3642","0.0005","4.6338","68.5000"
"69","0.0016","0.0107","0.0000","0.0005","0.0018","0.0186","0.0000","0.0316","11.8323","0.0006","4.4914","69.5000"
"70","0.0023","0.0148","0.0000","0.0010","0.0020","0.0198","0.0000","0.0336","11.3133","0.0007","4.3368","70.5000"
"71","0.0023","0.0148","0.0000","0.0010","0.0021","0.0211","0.0000","0.0357","10.8067","0.0008","4.1752","71.5000"
"72","0.0023","0.0148","0.0000","0.0010","0.0022","0.0224","0.0000","0.0379","10.3122","0.0008","4.0108","72.5000"
"73","0.0023","0.0148","0.0000","0.0010","0.0024","0.0238","0.0000","0.0401","9.8293","0.0010","3.8466","73.5000"
"74","0.0023","0.0148","0.0000","0.0010","0.0026","0.0252","0.0000","0.0422","9.3571","0.0011","3.6789","74.5000"
"75","0.0033","0.0200","0.0000","0.0016","0.0027","0.0267","0.0000","0.0444","8.8949","0.0012","3.5078","75.5000"
"76","0.0033","0.0200","0.0000","0.0016","0.0029","0.0283","0.0000","0.0466","8.4418","0.0013","3.3340","76.5000"
