"DisMod II input and output, database Australia-AIHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Females, Disease: Colon cancer (Rates * ), sex: Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 28/07/2020, 2:59:49 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","",""
"0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.5000","","","","","","","","","","","","","","","","","",""
"1","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.5000","","","","","","","","","","","","","","","","","",""
"2","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.5000","","","","","","","","","","","","","","","","","",""
"3","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","3.5000","","","","","","","","","","","","","","","","","",""
"4","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","4.5000","","","","","","","","","","","","","","","","","",""
"5","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","5.5000","","","","","","","","","","","","","","","","","",""
"6","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","6.5000","","","","","","","","","","","","","","","","","",""
"7","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","7.5000","","","","","","","","","","","","","","","","","",""
"8","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","8.5000","","","","","","","","","","","","","","","","","",""
"9","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","9.5000","","","","","","","","","","","","","","","","","",""
"10","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","10.5000","","","","","","","","","","","","","","","","","",""
"11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","11.5000","","","","","","","","","","","","","","","","","",""
"12","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","12.5000","","","","","","","","","","","","","","","","","",""
"13","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","13.5000","","","","","","","","","","","","","","","","","",""
"14","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","14.5000","","","","","","","","","","","","","","","","","",""
"15","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","15.5000","","","","","","","","","","","","","","","","","",""
"16","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","16.5000","","","","","","","","","","","","","","","","","",""
"17","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","17.5000","","","","","","","","","","","","","","","","","",""
"18","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","18.5000","","","","","","","","","","","","","","","","","",""
"19","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","19.5000","","","","","","","","","","","","","","","","","",""
"20","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","20.5000","","","","","","","","","","","","","","","","","",""
"21","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","21.5000","","","","","","","","","","","","","","","","","",""
"22","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","22.5000","","","","","","","","","","","","","","","","","",""
"23","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","23.5000","","","","","","","","","","","","","","","","","",""
"24","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","24.5000","","","","","","","","","","","","","","","","","",""
"25","0.0001","0.0000","0.0000","0.0000","0.0000","0.0000","0.0003","47.7552","0.0000","2.1123","25.5000","","","","","","","","","","","","","","","","","",""
"26","0.0001","0.0000","0.0000","0.0000","0.0000","0.0000","0.0010","46.7985","0.0000","5.3238","26.5000","","","","","","","","","","","","","","","","","",""
"27","0.0001","0.0000","0.0000","0.0000","0.0000","0.0000","0.0020","45.8782","0.0000","8.5621","27.5000","","","","","","","","","","","","","","","","","",""
"28","0.0001","0.0000","0.0000","0.0000","0.0000","0.0000","0.0033","45.0089","0.0000","14.2715","28.5000","","","","","","","","","","","","","","","","","",""
"29","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0049","44.2034","0.0000","18.9856","29.5000","","","","","","","","","","","","","","","","","",""
"30","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0069","43.4741","0.0000","26.5465","30.5000","","","","","","","","","","","","","","","","","",""
"31","0.0001","0.0000","0.0000","0.0001","0.0001","0.0000","0.0087","42.8226","0.0000","28.5585","31.5000","","","","","","","","","","","","","","","","","",""
"32","0.0001","0.0000","0.0000","0.0001","0.0002","0.0000","0.0100","42.2339","0.0000","27.3790","32.5000","","","","","","","","","","","","","","","","","",""
"33","0.0001","0.0000","0.0000","0.0001","0.0003","0.0000","0.0107","41.6834","0.0000","32.4209","33.5000","","","","","","","","","","","","","","","","","",""
"34","0.0001","0.0000","0.0000","0.0001","0.0003","0.0000","0.0110","41.1521","0.0000","21.2893","34.5000","","","","","","","","","","","","","","","","","",""
"35","0.0001","0.0000","0.0000","0.0001","0.0004","0.0000","0.0108","40.6195","0.0000","20.9953","35.5000","","","","","","","","","","","","","","","","","",""
"36","0.0001","0.0000","0.0000","0.0001","0.0005","0.0000","0.0100","40.0601","0.0000","20.5900","36.5000","","","","","","","","","","","","","","","","","",""
"37","0.0001","0.0000","0.0000","0.0001","0.0006","0.0000","0.0089","39.4574","0.0000","18.6252","37.5000","","","","","","","","","","","","","","","","","",""
"38","0.0001","0.0000","0.0000","0.0001","0.0006","0.0000","0.0080","38.8114","0.0000","14.3369","38.5000","","","","","","","","","","","","","","","","","",""
"39","0.0001","0.0000","0.0000","0.0001","0.0007","0.0000","0.0073","38.1317","0.0000","11.3133","39.5000","","","","","","","","","","","","","","","","","",""
"40","0.0001","0.0000","0.0000","0.0001","0.0008","0.0000","0.0068","37.4258","0.0000","9.4133","40.5000","","","","","","","","","","","","","","","","","",""
"41","0.0001","0.0000","0.0000","0.0001","0.0009","0.0000","0.0064","36.6973","0.0000","9.6982","41.5000","","","","","","","","","","","","","","","","","",""
"42","0.0001","0.0000","0.0000","0.0001","0.0010","0.0000","0.0062","35.9549","0.0000","7.7209","42.5000","","","","","","","","","","","","","","","","","",""
"43","0.0001","0.0000","0.0000","0.0001","0.0011","0.0000","0.0062","35.2066","0.0000","8.2228","43.5000","","","","","","","","","","","","","","","","","",""
"44","0.0001","0.0000","0.0000","0.0001","0.0013","0.0000","0.0063","34.4589","0.0000","6.8169","44.5000","","","","","","","","","","","","","","","","","",""
"45","0.0002","0.0000","0.0000","0.0001","0.0014","0.0000","0.0065","33.7157","0.0000","6.7851","45.5000","","","","","","","","","","","","","","","","","",""
"46","0.0002","0.0000","0.0000","0.0002","0.0015","0.0000","0.0068","32.9780","0.0000","6.2776","46.5000","","","","","","","","","","","","","","","","","",""
"47","0.0002","0.0000","0.0000","0.0002","0.0017","0.0000","0.0072","32.2458","0.0000","6.9093","47.5000","","","","","","","","","","","","","","","","","",""
"48","0.0002","0.0000","0.0000","0.0002","0.0019","0.0000","0.0076","31.5241","0.0000","5.8772","48.5000","","","","","","","","","","","","","","","","","",""
