"DisMod II input and output, database Australia","","","","","","","","","","","",""
"Males, Disease: colon and rectum cancer (Rates * ), sex: Males","","","","","","","","","","","",""
"Written 27/07/2020, 5:03:50 PM","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0163","51.5175","0.0000","19.4316","0.5000"
"1","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0163","51.3971","0.0000","22.7682","1.5000"
"2","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0161","51.2649","0.0000","25.8757","2.5000"
"3","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0157","51.1104","0.0000","28.2253","3.5000"
"4","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0153","50.9279","0.0000","30.2566","4.5000"
"5","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0148","50.7170","0.0000","31.5900","5.5000"
"6","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0142","50.4729","0.0000","32.1417","6.5000"
"7","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0135","50.1923","0.0000","32.0063","7.5000"
"8","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0129","49.8756","0.0000","31.4526","8.5000"
"9","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0124","49.5257","0.0000","30.5567","9.5000"
"10","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0119","49.1457","0.0000","29.4017","10.5000"
"11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0115","48.7384","0.0000","28.0706","11.5000"
"12","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0111","48.3068","0.0000","26.6404","12.5000"
"13","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0108","47.8544","0.0000","25.2288","13.5000"
"14","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0105","47.3836","0.0000","23.7688","14.5000"
"15","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0103","46.8958","0.0000","22.3124","15.5000"
"16","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0100","46.3923","0.0000","20.9020","16.5000"
"17","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0098","45.8743","0.0000","19.5701","17.5000"
"18","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0096","45.3429","0.0000","18.3409","18.5000"
"19","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0094","44.7976","0.0000","17.1060","19.5000"
"20","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0091","44.2358","0.0000","15.8573","20.5000"
"21","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0087","43.6543","0.0000","14.6199","21.5000"
