"DisMod II input and output, database Australia-AIHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Males, Disease: Colon cancer (Rates * ), sex: Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 28/07/2020, 3:00:35 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","",""
"0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","71.6472","0.0000","0.0000","0.5000","","","","","","","","","","","","","","","","","",""
"1","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","70.7852","0.0000","0.0000","1.5000","","","","","","","","","","","","","","","","","",""
"2","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0000","69.7990","0.0000","0.0000","2.5000","","","","","","","","","","","","","","","","","",""
"3","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0000","68.8090","0.0000","0.0000","3.5000","","","","","","","","","","","","","","","","","",""
"4","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0000","67.8172","0.0000","0.0000","4.5000","","","","","","","","","","","","","","","","","",""
"5","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0000","66.8226","0.0000","0.0000","5.5000","","","","","","","","","","","","","","","","","",""
"6","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0000","65.8270","0.0000","0.0000","6.5000","","","","","","","","","","","","","","","","","",""
"7","0.0000","0.0000","0.0000","0.0000","0.0002","0.0000","0.0000","64.8314","0.0000","0.0000","7.5000","","","","","","","","","","","","","","","","","",""
"8","0.0000","0.0000","0.0000","0.0000","0.0002","0.0000","0.0000","63.8368","0.0000","1.0000","8.5000","","","","","","","","","","","","","","","","","",""
"9","0.0000","0.0000","0.0000","0.0000","0.0002","0.0000","0.0000","62.8430","0.0000","1.0000","9.5000","","","","","","","","","","","","","","","","","",""
"10","0.0000","0.0000","0.0000","0.0000","0.0002","0.0000","0.0000","61.8492","0.0000","1.0000","10.5000","","","","","","","","","","","","","","","","","",""
"11","0.0000","0.0000","0.0000","0.0000","0.0003","0.0000","0.0000","60.8539","0.0000","0.0000","11.5000","","","","","","","","","","","","","","","","","",""
"12","0.0000","0.0000","0.0000","0.0000","0.0003","0.0000","0.0000","59.8586","0.0000","0.0000","12.5000","","","","","","","","","","","","","","","","","",""
"13","0.0000","0.0000","0.0000","0.0000","0.0003","0.0000","0.0000","58.8654","0.0000","1.0000","13.5000","","","","","","","","","","","","","","","","","",""
"14","0.0000","0.0000","0.0000","0.0000","0.0003","0.0000","0.0000","57.8750","0.0000","1.0000","14.5000","","","","","","","","","","","","","","","","","",""
