"DisMod II input and output, database Australia","","","","","","","","","","","",""
"Females, Disease: chronic obstructive pulmonary disease (Rates * ), sex: Females","","","","","","","","","","","",""
"Written 27/07/2020, 5:02:07 PM","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0002","0.0029","0.0000","0.0000","0.0002","0.0030","0.0000","0.0001","82.1390","0.0000","1.6988","0.5000"
"1","0.0002","0.0029","0.0000","0.0000","0.0002","0.0032","0.0000","0.0001","81.1665","0.0000","1.6799","1.5000"
"2","0.0002","0.0029","0.0000","0.0000","0.0002","0.0034","0.0000","0.0001","80.1940","0.0000","1.6593","2.5000"
"3","0.0002","0.0029","0.0000","0.0000","0.0002","0.0036","0.0000","0.0001","79.2213","0.0000","1.6299","3.5000"
"4","0.0002","0.0029","0.0000","0.0000","0.0002","0.0038","0.0000","0.0001","78.2483","0.0000","1.6061","4.5000"
"5","0.0002","0.0029","0.0000","0.0000","0.0002","0.0040","0.0000","0.0001","77.2748","0.0000","1.5811","5.5000"
"6","0.0002","0.0029","0.0000","0.0000","0.0002","0.0042","0.0000","0.0001","76.3008","0.0000","1.5545","6.5000"
"7","0.0002","0.0029","0.0000","0.0000","0.0002","0.0044","0.0000","0.0001","75.3262","0.0000","1.5276","7.5000"
"8","0.0002","0.0029","0.0000","0.0000","0.0002","0.0046","0.0000","0.0001","74.3509","0.0000","1.5035","8.5000"
"9","0.0002","0.0029","0.0000","0.0000","0.0002","0.0048","0.0000","0.0001","73.3750","0.0000","1.4819","9.5000"
"10","0.0002","0.0029","0.0000","0.0000","0.0002","0.0050","0.0000","0.0001","72.3985","0.0000","1.4625","10.5000"
"11","0.0002","0.0029","0.0000","0.0000","0.0002","0.0052","0.0000","0.0001","71.4213","0.0000","1.4450","11.5000"
"12","0.0002","0.0029","0.0000","0.0000","0.0002","0.0054","0.0000","0.0001","70.4436","0.0000","1.4291","12.5000"
"13","0.0002","0.0029","0.0000","0.0000","0.0002","0.0055","0.0000","0.0001","69.4653","0.0000","1.4168","13.5000"
"14","0.0002","0.0029","0.0000","0.0000","0.0002","0.0057","0.0000","0.0001","68.4866","0.0000","1.4063","14.5000"
"15","0.0002","0.0029","0.0000","0.0000","0.0002","0.0059","0.0000","0.0001","67.5074","0.0000","1.3974","15.5000"
"16","0.0002","0.0029","0.0000","0.0000","0.0002","0.0061","0.0000","0.0001","66.5279","0.0000","1.3899","16.5000"
"17","0.0002","0.0029","0.0000","0.0000","0.0002","0.0063","0.0000","0.0001","65.5481","0.0000","1.3836","17.5000"
"18","0.0002","0.0029","0.0000","0.0000","0.0002","0.0065","0.0000","0.0001","64.5682","0.0000","1.3784","18.5000"
"19","0.0002","0.0029","0.0000","0.0000","0.0002","0.0067","0.0000","0.0001","63.5881","0.0000","1.3765","19.5000"
"20","0.0003","0.0043","0.0000","0.0000","0.0002","0.0069","0.0000","0.0001","62.6079","0.0000","1.3754","20.5000"
"21","0.0003","0.0043","0.0000","0.0000","0.0003","0.0071","0.0000","0.0001","61.6279","0.0000","1.3750","21.5000"
"22","0.0003","0.0043","0.0000","0.0000","0.0003","0.0074","0.0000","0.0001","60.6480","0.0000","1.3748","22.5000"
"23","0.0003","0.0043","0.0000","0.0000","0.0003","0.0077","0.0000","0.0001","59.6685","0.0000","1.3746","23.5000"
"24","0.0003","0.0043","0.0000","0.0000","0.0003","0.0080","0.0000","0.0001","58.6892","0.0000","1.3744","24.5000"
"25","0.0005","0.0064","0.0000","0.0000","0.0004","0.0083","0.0000","0.0001","57.7105","0.0000","1.3722","25.5000"
"26","0.0005","0.0064","0.0000","0.0000","0.0004","0.0087","0.0000","0.0001","56.7323","0.0000","1.3665","26.5000"
"27","0.0005","0.0064","0.0000","0.0000","0.0004","0.0091","0.0000","0.0001","55.7546","0.0000","1.3578","27.5000"
"28","0.0005","0.0064","0.0000","0.0000","0.0005","0.0096","0.0000","0.0001","54.7775","0.0000","1.3466","28.5000"
"29","0.0005","0.0064","0.0000","0.0000","0.0005","0.0101","0.0000","0.0001","53.8009","0.0000","1.3329","29.5000"
