"DisMod II input and output, database Australia","","","","","","","","","","","",""
"Males, Disease: chronic obstructive pulmonary disease (Rates * ), sex: Males","","","","","","","","","","","",""
"Written 27/07/2020, 5:01:23 PM","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0002","0.0024","0.0000","0.0000","0.0002","0.0025","0.0000","0.0002","77.0821","0.0000","1.2376","0.5000"
"1","0.0002","0.0024","0.0000","0.0000","0.0002","0.0026","0.0000","0.0002","76.1611","0.0000","1.2806","1.5000"
"2","0.0002","0.0024","0.0000","0.0000","0.0002","0.0028","0.0000","0.0002","75.2302","0.0000","1.3207","2.5000"
"3","0.0002","0.0024","0.0000","0.0000","0.0002","0.0030","0.0000","0.0002","74.2917","0.0000","1.3511","3.5000"
"4","0.0002","0.0024","0.0000","0.0000","0.0002","0.0032","0.0000","0.0002","73.3474","0.0000","1.3775","4.5000"
"5","0.0002","0.0024","0.0000","0.0000","0.0002","0.0033","0.0000","0.0002","72.3986","0.0000","1.3950","5.5000"
"6","0.0002","0.0024","0.0000","0.0000","0.0002","0.0035","0.0000","0.0002","71.4461","0.0000","1.4025","6.5000"
"7","0.0002","0.0024","0.0000","0.0000","0.0002","0.0037","0.0000","0.0002","70.4908","0.0000","1.4009","7.5000"
"8","0.0002","0.0024","0.0000","0.0000","0.0002","0.0038","0.0000","0.0002","69.5333","0.0000","1.3936","8.5000"
"9","0.0002","0.0024","0.0000","0.0000","0.0002","0.0040","0.0000","0.0002","68.5741","0.0000","1.3816","9.5000"
"10","0.0002","0.0024","0.0000","0.0000","0.0002","0.0042","0.0000","0.0002","67.6137","0.0000","1.3660","10.5000"
"11","0.0002","0.0024","0.0000","0.0000","0.0002","0.0043","0.0000","0.0001","66.6525","0.0000","1.3478","11.5000"
"12","0.0002","0.0024","0.0000","0.0000","0.0002","0.0045","0.0000","0.0001","65.6908","0.0000","1.3281","12.5000"
"13","0.0002","0.0024","0.0000","0.0000","0.0002","0.0046","0.0000","0.0001","64.7289","0.0000","1.3094","13.5000"
"14","0.0002","0.0024","0.0000","0.0000","0.0002","0.0048","0.0000","0.0001","63.7672","0.0000","1.2911","14.5000"
"15","0.0002","0.0024","0.0000","0.0000","0.0002","0.0049","0.0000","0.0001","62.8059","0.0000","1.2737","15.5000"
"16","0.0002","0.0024","0.0000","0.0000","0.0002","0.0051","0.0000","0.0001","61.8451","0.0000","1.2577","16.5000"
"17","0.0002","0.0024","0.0000","0.0000","0.0002","0.0052","0.0000","0.0001","60.8851","0.0000","1.2432","17.5000"
"18","0.0002","0.0024","0.0000","0.0000","0.0002","0.0054","0.0000","0.0001","59.9260","0.0000","1.2307","18.5000"
"19","0.0002","0.0024","0.0000","0.0000","0.0002","0.0056","0.0000","0.0001","58.9678","0.0000","1.2194","19.5000"
"20","0.0003","0.0036","0.0000","0.0000","0.0002","0.0058","0.0000","0.0001","58.0106","0.0000","1.2086","20.5000"
"21","0.0003","0.0036","0.0000","0.0000","0.0002","0.0060","0.0000","0.0001","57.0542","0.0000","1.1983","21.5000"
"22","0.0003","0.0036","0.0000","0.0000","0.0002","0.0062","0.0000","0.0001","56.0985","0.0000","1.1889","22.5000"
"23","0.0003","0.0036","0.0000","0.0000","0.0002","0.0064","0.0000","0.0001","55.1434","0.0000","1.1804","23.5000"
"24","0.0003","0.0036","0.0000","0.0000","0.0003","0.0067","0.0000","0.0001","54.1885","0.0000","1.1725","24.5000"
"25","0.0004","0.0053","0.0000","0.0000","0.0003","0.0070","0.0000","0.0001","53.2339","0.0000","1.1675","25.5000"
"26","0.0004","0.0053","0.0000","0.0000","0.0003","0.0073","0.0000","0.0001","52.2795","0.0000","1.1654","26.5000"
"27","0.0004","0.0053","0.0000","0.0000","0.0004","0.0076","0.0000","0.0001","51.3255","0.0000","1.1657","27.5000"
"28","0.0004","0.0053","0.0000","0.0000","0.0004","0.0080","0.0000","0.0001","50.3721","0.0000","1.1678","28.5000"
"29","0.0004","0.0053","0.0000","0.0000","0.0004","0.0084","0.0000","0.0001","49.4195","0.0000","1.1715","29.5000"
"30","0.0006","0.0079","0.0000","0.0000","0.0005","0.0089","0.0000","0.0002","48.4679","0.0000","1.1766","30.5000"
"31","0.0006","0.0079","0.0000","0.0000","0.0005","0.0094","0.0000","0.0002","47.5174","0.0000","1.1845","31.5000"
"32","0.0006","0.0079","0.0000","0.0000","0.0006","0.0099","0.0000","0.0002","46.5683","0.0000","1.1926","32.5000"
"33","0.0006","0.0079","0.0000","0.0000","0.0007","0.0105","0.0000","0.0002","45.6206","0.0000","1.2009","33.5000"
"34","0.0006","0.0079","0.0000","0.0000","0.0007","0.0112","0.0000","0.0002","44.6745","0.0000","1.2091","34.5000"
"35","0.0010","0.0119","0.0000","0.0000","0.0008","0.0120","0.0000","0.0002","43.7300","0.0000","1.2169","35.5000"
"36","0.0010","0.0119","0.0000","0.0000","0.0009","0.0128","0.0000","0.0002","42.7873","0.0000","1.2238","36.5000"
"37","0.0010","0.0119","0.0000","0.0000","0.0010","0.0137","0.0000","0.0003","41.8469","0.0000","1.2326","37.5000"
"38","0.0010","0.0119","0.0000","0.0000","0.0010","0.0147","0.0000","0.0003","40.9089","0.0000","1.2415","38.5000"
"39","0.0010","0.0119","0.0000","0.0000","0.0011","0.0157","0.0000","0.0003","39.9739","0.0000","1.2501","39.5000"
"40","0.0015","0.0183","0.0000","0.0000","0.0012","0.0169","0.0000","0.0004","39.0422","0.0000","1.2585","40.5000"
"41","0.0015","0.0183","0.0000","0.0000","0.0013","0.0181","0.0000","0.0004","38.1139","0.0000","1.2666","41.5000"
"42","0.0015","0.0183","0.0000","0.0000","0.0014","0.0195","0.0000","0.0004","37.1893","0.0000","1.2746","42.5000"
"43","0.0015","0.0183","0.0000","0.0000","0.0016","0.0210","0.0000","0.0005","36.2686","0.0000","1.2846","43.5000"
"44","0.0015","0.0183","0.0000","0.0000","0.0017","0.0226","0.0000","0.0006","35.3520","0.0000","1.2941","44.5000"
"45","0.0022","0.0273","0.0000","0.0000","0.0018","0.0243","0.0000","0.0006","34.4396","0.0000","1.3026","45.5000"
"46","0.0022","0.0273","0.0000","0.0000","0.0020","0.0261","0.0000","0.0007","33.5315","0.0000","1.3098","46.5000"
"47","0.0022","0.0273","0.0000","0.0000","0.0022","0.0281","0.0000","0.0007","32.6281","0.0000","1.3153","47.5000"
