"DisMod II input and output, database Australia",,,,,,,,,,,,
"Females, Disease: diabetes mellitus type 2              (Rates * ), sex: Females",,,,,,,,,,,,
"Written 27/07/2020, 4:42:23 PM",,,,,,,,,,,,
Age,Incidence (rates),Prevalence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
0,0.0004,0.0005,0,0,0,0.0005,0,0.0002,83.9442,0,1.8381,0.5
1,0.0004,0.0005,0,0,0,0.0006,0,0.0002,82.9746,0,1.8154,1.5
2,0.0004,0.0005,0,0,0,0.0006,0,0.0002,82.005,0,1.7927,2.5
3,0.0004,0.0005,0,0,0,0.0007,0,0.0002,81.0352,0,1.7637,3.5
4,0.0004,0.0005,0,0,0,0.0007,0,0.0002,80.0651,0,1.7404,4.5
5,0.0004,0.0005,0,0,0,0.0007,0,0.0002,79.0946,0,1.717,5.5
6,0.0004,0.0005,0,0,0,0.0008,0,0.0002,78.1236,0,1.693,6.5
7,0.0004,0.0005,0,0,0,0.0008,0,0.0001,77.152,0,1.6703,7.5
8,0.0004,0.0005,0,0,0,0.0008,0,0.0001,76.1798,0,1.6517,8.5
9,0.0004,0.0005,0,0,0,0.0008,0,0.0001,75.207,0,1.6368,9.5
10,0.0004,0.0005,0,0,0,0.0008,0,0.0001,74.2337,0,1.625,10.5
11,0.0004,0.0005,0,0,0,0.0008,0,0.0001,73.2598,0,1.6161,11.5
12,0.0004,0.0005,0,0,0,0.0008,0,0.0001,72.2855,0,1.6098,12.5
13,0.0004,0.0005,0,0,0,0.0008,0,0.0001,71.3107,0,1.6024,13.5
14,0.0004,0.0005,0,0,0,0.0009,0,0.0001,70.3354,0,1.5911,14.5
15,0.0004,0.0005,0,0,0,0.0009,0,0.0001,69.3597,0,1.5756,15.5
16,0.0004,0.0005,0,0,0.0001,0.001,0,0.0001,68.3834,0,1.5557,16.5
17,0.0004,0.0005,0,0,0.0001,0.0011,0,0.0001,67.4065,0,1.5314,17.5
18,0.0004,0.0005,0,0,0.0002,0.0012,0,0.0001,66.4292,0,1.5027,18.5
19,0.0004,0.0005,0,0,0.0002,0.0014,0,0.0001,65.4513,0,1.4681,19.5
20,0.0008,0.0033,0,0,0.0003,0.0016,0,0.0001,64.4729,0,1.4312,20.5
21,0.0008,0.0033,0,0,0.0004,0.0019,0,0.0001,63.4941,0,1.3922,21.5
22,0.0008,0.0033,0,0,0.0005,0.0023,0,0.0001,62.5148,0,1.3515,22.5
23,0.0008,0.0033,0,0,0.0006,0.0028,0,0.0001,61.5352,0,1.3097,23.5
24,0.0008,0.0033,0,0,0.0007,0.0034,0,0.0001,60.5553,0,1.2677,24.5
25,0.0011,0.0079,0,0,0.0008,0.0042,0,0.0001,59.5754,0,1.236,25.5
26,0.0011,0.0079,0,0,0.0009,0.005,0,0.0001,58.5955,0,1.2152,26.5
27,0.0011,0.0079,0,0,0.001,0.0059,0,0.0001,57.616,0,1.2041,27.5
28,0.0011,0.0079,0,0,0.0011,0.0069,0,0.0001,56.6371,0,1.2017,28.5
29,0.0011,0.0079,0,0,0.0011,0.008,0,0.0001,55.6589,0,1.2065,29.5
30,0.0013,0.0135,0,0,0.0012,0.0092,0,0.0001,54.6817,0,1.2168,30.5
31,0.0013,0.0135,0,0,0.0013,0.0104,0,0.0001,53.7058,0,1.2275,31.5
