"DisMod II input and output, database Australia",,,,,,,,,,,,
"Males, Disease: diabetes mellitus type 2              (Rates * ), sex: Males",,,,,,,,,,,,
"Written 27/07/2020, 4:41:01 PM",,,,,,,,,,,,
Age,Incidence (rates),Prevalence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
0,0.0002,0.0003,0,0,0,0.0003,0,0.0003,78.8325,0,1.3413,0.5
1,0.0002,0.0003,0,0,0,0.0003,0,0.0003,77.92,0,1.4031,1.5
2,0.0002,0.0003,0,0,0,0.0003,0,0.0003,76.9974,0,1.462,2.5
3,0.0002,0.0003,0,0,0,0.0004,0,0.0003,76.067,0,1.5107,3.5
4,0.0002,0.0003,0,0,0,0.0004,0,0.0003,75.1305,0,1.5538,4.5
5,0.0002,0.0003,0,0,0,0.0004,0,0.0003,74.1894,0,1.586,5.5
6,0.0002,0.0003,0,0,0,0.0004,0,0.0003,73.2445,0,1.6057,6.5
7,0.0002,0.0003,0,0,0,0.0004,0,0.0003,72.2967,0,1.6143,7.5
8,0.0002,0.0003,0,0,0,0.0004,0,0.0003,71.3466,0,1.615,8.5
9,0.0002,0.0003,0,0,0,0.0004,0,0.0003,70.3948,0,1.6087,9.5
10,0.0002,0.0003,0,0,0,0.0005,0,0.0003,69.4418,0,1.5968,10.5
11,0.0002,0.0003,0,0,0,0.0005,0,0.0002,68.4879,0,1.5804,11.5
12,0.0002,0.0003,0,0,0,0.0005,0,0.0002,67.5337,0,1.5609,12.5
13,0.0002,0.0003,0,0,0,0.0005,0,0.0002,66.5793,0,1.5354,13.5
14,0.0002,0.0003,0,0,0,0.0005,0,0.0002,65.6248,0,1.5036,14.5
15,0.0002,0.0003,0,0,0,0.0005,0,0.0002,64.6705,0,1.467,15.5
16,0.0002,0.0003,0,0,0,0.0005,0,0.0002,63.7163,0,1.4272,16.5
17,0.0002,0.0003,0,0,0.0001,0.0006,0,0.0002,62.7622,0,1.3857,17.5
18,0.0002,0.0003,0,0,0.0001,0.0006,0,0.0002,61.8083,0,1.3436,18.5
19,0.0002,0.0003,0,0,0.0001,0.0007,0,0.0002,60.8545,0,1.3033,19.5
20,0.0006,0.0019,0,0,0.0002,0.0009,0,0.0002,59.9009,0,1.2681,20.5
21,0.0006,0.0019,0,0,0.0002,0.0011,0,0.0002,58.9474,0,1.2378,21.5
22,0.0006,0.0019,0,0,0.0003,0.0013,0,0.0001,57.9941,0,1.212,22.5
23,0.0006,0.0019,0,0,0.0004,0.0017,0,0.0001,57.0408,0,1.1903,23.5
24,0.0006,0.0019,0,0,0.0005,0.0021,0,0.0001,56.0874,0,1.1719,24.5
25,0.001,0.0056,0,0,0.0006,0.0027,0,0.0001,55.1339,0,1.1607,25.5
26,0.001,0.0056,0,0,0.0007,0.0034,0,0.0001,54.1805,0,1.1544,26.5
27,0.001,0.0056,0,0,0.0009,0.0042,0,0.0001,53.2275,0,1.1524,27.5
28,0.001,0.0056,0,0,0.001,0.0051,0,0.0001,52.275,0,1.1541,28.5
29,0.001,0.0056,0,0,0.0011,0.0061,0,0.0001,51.3233,0,1.1591,29.5
30,0.0015,0.0115,0,0,0.0012,0.0073,0,0.0001,50.3728,0,1.1671,30.5
31,0.0015,0.0115,0,0,0.0013,0.0086,0,0.0002,49.4236,0,1.1751,31.5
32,0.0015,0.0115,0,0,0.0014,0.0099,0,0.0002,48.4757,0,1.1796,32.5
33,0.0015,0.0115,0,0,0.0016,0.0114,0,0.0002,47.5292,0,1.1808,33.5
34,0.0015,0.0115,0,0,0.0017,0.013,0,0.0002,46.5839,0,1.179,34.5
35,0.0019,0.0196,0,0,0.0018,0.0147,0,0.0002,45.6398,0,1.1744,35.5
36,0.0019,0.0196,0,0,0.0019,0.0165,0,0.0002,44.697,0,1.1672,36.5
37,0.0019,0.0196,0,0,0.002,0.0184,0,0.0002,43.7556,0,1.1587,37.5
38,0.0019,0.0196,0,0,0.0021,0.0204,0,0.0002,42.816,0,1.151,38.5
39,0.0019,0.0196,0,0,0.0023,0.0226,0,0.0002,41.8784,0,1.144,39.5
40,0.0029,0.0306,0,0,0.0025,0.0249,0,0.0002,40.9433,0,1.1379,40.5
41,0.0029,0.0306,0,0,0.0026,0.0274,0,0.0002,40.0107,0,1.1326,41.5
42,0.0029,0.0306,0,0,0.0029,0.03,0,0.0002,39.0811,0,1.1281,42.5
43,0.0029,0.0306,0,0,0.0031,0.0329,0,0.0002,38.1544,0,1.1263,43.5
44,0.0029,0.0306,0,0,0.0033,0.036,0,0.0002,37.2309,0,1.1258,44.5
45,0.0042,0.0473,0,0,0.0036,0.0393,0,0.0003,36.3108,0,1.1262,45.5
46,0.0042,0.0473,0,0,0.0039,0.0429,0,0.0003,35.3944,0,1.1272,46.5
47,0.0042,0.0473,0,0,0.0042,0.0467,0,0.0003,34.482,0,1.1284,47.5
48,0.0042,0.0473,0,0,0.0045,0.0508,0,0.0003,33.5741,0,1.1296,48.5
49,0.0042,0.0473,0,0,0.0048,0.0552,0,0.0004,32.6711,0,1.1296,49.5
50,0.0055,0.0703,0,0,0.0051,0.0598,0,0.0004,31.7733,0,1.1275,50.5
51,0.0055,0.0703,0,0,0.0054,0.0648,0,0.0004,30.881,0,1.1238,51.5
52,0.0055,0.0703,0,0,0.0058,0.07,0,0.0004,29.9944,0,1.1189,52.5
53,0.0055,0.0703,0,0,0.0061,0.0755,0,0.0004,29.1138,0,1.1132,53.5
54,0.0055,0.0703,0,0,0.0064,0.0812,0,0.0004,28.2392,0,1.107,54.5
55,0.0068,0.0994,0,0.0001,0.0068,0.0872,0,0.0005,27.3709,0,1.1001,55.5
56,0.0068,0.0994,0,0.0001,0.007,0.0935,0,0.0005,26.509,0,1.0934,56.5
57,0.0068,0.0994,0,0.0001,0.0073,0.0999,0,0.0005,25.6537,0,1.087,57.5
58,0.0068,0.0994,0,0.0001,0.0076,0.1066,0,0.0005,24.8052,0.0001,1.0808,58.5
59,0.0068,0.0994,0,0.0001,0.0078,0.1134,0,0.0005,23.9638,0.0001,1.0749,59.5
60,0.0073,0.1328,0,0.0002,0.0081,0.1204,0,0.0005,23.1296,0.0001,1.0693,60.5
61,0.0073,0.1328,0,0.0002,0.0083,0.1274,0,0.0005,22.3028,0.0001,1.0636,61.5
62,0.0073,0.1328,0,0.0002,0.0084,0.1346,0,0.0005,21.4839,0.0001,1.0582,62.5
63,0.0073,0.1328,0,0.0002,0.0085,0.1419,0,0.0005,20.6731,0.0001,1.053,63.5
64,0.0073,0.1328,0,0.0002,0.0086,0.1491,0,0.0005,19.8708,0.0001,1.048,64.5
65,0.0071,0.165,0,0.0003,0.0086,0.1563,0,0.0005,19.0776,0.0001,1.0432,65.5
66,0.0071,0.165,0,0.0003,0.0086,0.1635,0,0.0005,18.2939,0.0001,1.0387,66.5
67,0.0071,0.165,0,0.0003,0.0086,0.1707,0,0.0004,17.5204,0.0001,1.0344,67.5
68,0.0071,0.165,0,0.0003,0.0085,0.1777,0,0.0004,16.7579,0.0001,1.0303,68.5
