"DisMod II input and output, database Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Females, Disease: Ischemic heart disease                (Rates * ), sex: Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 27/07/2020, 4:45:24 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","","","","","","",""
"0","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0054","57.8985","0.0000","28.5753","0.5000","","","","","","","","","","","","","","","","","","","","","","",""
"1","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0054","57.2222","0.0000","27.8292","1.5000","","","","","","","","","","","","","","","","","","","","","","",""
"2","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0054","56.5417","0.0000","27.1223","2.5000","","","","","","","","","","","","","","","","","","","","","","",""
"3","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0053","55.8547","0.0000","26.2947","3.5000","","","","","","","","","","","","","","","","","","","","","","",""
"4","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0053","55.1601","0.0000","25.6350","4.5000","","","","","","","","","","","","","","","","","","","","","","",""
"5","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0052","54.4576","0.0000","24.9961","5.5000","","","","","","","","","","","","","","","","","","","","","","",""
"6","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0051","53.7464","0.0000","24.3615","6.5000","","","","","","","","","","","","","","","","","","","","","","",""
"7","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0050","53.0258","0.0000","23.7600","7.5000","","","","","","","","","","","","","","","","","","","","","","",""
"8","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0049","52.2961","0.0000","23.2528","8.5000","","","","","","","","","","","","","","","","","","","","","","",""
"9","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0048","51.5578","0.0000","22.8256","9.5000","","","","","","","","","","","","","","","","","","","","","","",""
"10","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0047","50.8115","0.0000","22.4653","10.5000","","","","","","","","","","","","","","","","","","","","","","",""
"11","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0046","50.0577","0.0000","22.1601","11.5000","","","","","","","","","","","","","","","","","","","","","","",""
"12","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0046","49.2970","0.0000","21.8989","12.5000","","","","","","","","","","","","","","","","","","","","","","",""
