"DisMod II input and output, database Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Males, Disease: Ischemic heart disease                (Rates * ), sex: Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 27/07/2020, 4:44:31 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","","","","","","",""
"0","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0129","43.8460","0.0000","15.6115","0.5000","","","","","","","","","","","","","","","","","","","","","","",""
"1","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0129","43.4448","0.0000","18.2566","1.5000","","","","","","","","","","","","","","","","","","","","","","",""
"2","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0129","43.0320","0.0000","20.8340","2.5000","","","","","","","","","","","","","","","","","","","","","","",""
"3","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0127","42.6065","0.0000","23.1327","3.5000","","","","","","","","","","","","","","","","","","","","","","",""
"4","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0126","42.1676","0.0000","25.2040","4.5000","","","","","","","","","","","","","","","","","","","","","","",""
"5","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0125","41.7159","0.0000","26.8895","5.5000","","","","","","","","","","","","","","","","","","","","","","",""
"6","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0123","41.2506","0.0000","28.1233","6.5000","","","","","","","","","","","","","","","","","","","","","","",""
"7","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0122","40.7715","0.0000","28.9113","7.5000","","","","","","","","","","","","","","","","","","","","","","",""
"8","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0120","40.2791","0.0000","29.3149","8.5000","","","","","","","","","","","","","","","","","","","","","","",""
"9","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0119","39.7744","0.0000","29.3598","9.5000","","","","","","","","","","","","","","","","","","","","","","",""
"10","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0118","39.2584","0.0000","29.0862","10.5000","","","","","","","","","","","","","","","","","","","","","","",""
"11","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0117","38.7320","0.0000","28.5444","11.5000","","","","","","","","","","","","","","","","","","","","","","",""
"12","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0116","38.1959","0.0000","27.7897","12.5000","","","","","","","","","","","","","","","","","","","","","","",""
"13","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0115","37.6513","0.0000","26.9016","13.5000","","","","","","","","","","","","","","","","","","","","","","",""
"14","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0115","37.0989","0.0000","25.8929","14.5000","","","","","","","","","","","","","","","","","","","","","","",""
"15","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0115","36.5392","0.0000","24.8147","15.5000","","","","","","","","","","","","","","","","","","","","","","",""
"16","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0115","35.9726","0.0000","23.7127","16.5000","","","","","","","","","","","","","","","","","","","","","","",""
"17","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0114","35.3995","0.0000","22.6261","17.5000","","","","","","","","","","","","","","","","","","","","","","",""
"18","0.0000","0.0001","0.0000","0.0000","0.0000","0.0002","0.0000","0.0114","34.8203","0.0000","21.5876","18.5000","","","","","","","","","","","","","","","","","","","","","","",""
"19","0.0000","0.0001","0.0000","0.0000","0.0000","0.0002","0.0000","0.0116","34.2385","0.0000","20.9565","19.5000","","","","","","","","","","","","","","","","","","","","","","",""
"20","0.0000","0.0003","0.0000","0.0000","0.0000","0.0002","0.0000","0.0120","33.6609","0.0000","20.6914","20.5000","","","","","","","","","","","","","","","","","","","","","","",""
"21","0.0000","0.0003","0.0000","0.0000","0.0000","0.0002","0.0000","0.0126","33.0936","0.0000","20.7758","21.5000","","","","","","","","","","","","","","","","","","","","","","",""
"22","0.0000","0.0003","0.0000","0.0000","0.0000","0.0002","0.0000","0.0134","32.5426","0.0000","21.2027","22.5000","","","","","","","","","","","","","","","","","","","","","","",""
"23","0.0000","0.0003","0.0000","0.0000","0.0000","0.0003","0.0000","0.0144","32.0135","0.0000","21.9656","23.5000","","","","","","","","","","","","","","","","","","","","","","",""
"24","0.0000","0.0003","0.0000","0.0000","0.0000","0.0003","0.0000","0.0156","31.5118","0.0000","23.0218","24.5000","","","","","","","","","","","","","","","","","","","","","","",""
"25","0.0001","0.0006","0.0000","0.0000","0.0001","0.0003","0.0000","0.0170","31.0429","0.0000","24.3219","25.5000","","","","","","","","","","","","","","","","","","","","","","",""
"26","0.0001","0.0006","0.0000","0.0000","0.0001","0.0004","0.0000","0.0183","30.6093","0.0000","25.5469","26.5000","","","","","","","","","","","","","","","","","","","","","","",""
"27","0.0001","0.0006","0.0000","0.0000","0.0001","0.0005","0.0000","0.0197","30.2106","0.0000","26.6506","27.5000","","","","","","","","","","","","","","","","","","","","","","",""
"28","0.0001","0.0006","0.0000","0.0000","0.0001","0.0006","0.0000","0.0211","29.8464","0.0000","27.5899","28.5000","","","","","","","","","","","","","","","","","","","","","","",""
"29","0.0001","0.0006","0.0000","0.0000","0.0001","0.0007","0.0000","0.0225","29.5166","0.0000","28.3629","29.5000","","","","","","","","","","","","","","","","","","","","","","",""
"30","0.0002","0.0013","0.0000","0.0000","0.0002","0.0008","0.0000","0.0239","29.2213","0.0000","28.9823","30.5000","","","","","","","","","","","","","","","","","","","","","","",""
"31","0.0002","0.0013","0.0000","0.0000","0.0002","0.0010","0.0000","0.0251","28.9575","0.0000","29.2262","31.5000","","","","","","","","","","","","","","","","","","","","","","",""
"32","0.0002","0.0013","0.0000","0.0000","0.0002","0.0012","0.0000","0.0260","28.7192","0.0000","29.1381","32.5000","","","","","","","","","","","","","","","","","","","","","","",""
"33","0.0002","0.0013","0.0000","0.0000","0.0003","0.0014","0.0000","0.0268","28.5005","0.0000","28.7589","33.5000","","","","","","","","","","","","","","","","","","","","","","",""
"34","0.0002","0.0013","0.0000","0.0000","0.0004","0.0017","0.0000","0.0273","28.2956","0.0000","28.1028","34.5000","","","","","","","","","","","","","","","","","","","","","","",""
"35","0.0005","0.0033","0.0000","0.0001","0.0004","0.0020","0.0000","0.0277","28.0986","0.0001","27.1793","35.5000","","","","","","","","","","","","","","","","","","","","","","",""
"36","0.0005","0.0033","0.0000","0.0001","0.0005","0.0024","0.0000","0.0278","27.9037","0.0001","26.0019","36.5000","","","","","","","","","","","","","","","","","","","","","","",""
"37","0.0005","0.0033","0.0000","0.0001","0.0006","0.0028","0.0000","0.0276","27.7036","0.0001","24.4974","37.5000","","","","","","","","","","","","","","","","","","","","","","",""
"38","0.0005","0.0033","0.0000","0.0001","0.0007","0.0034","0.0000","0.0273","27.4923","0.0001","22.8841","38.5000","","","","","","","","","","","","","","","","","","","","","","",""
"39","0.0005","0.0033","0.0000","0.0001","0.0008","0.0040","0.0000","0.0269","27.2667","0.0001","21.2136","39.5000","","","","","","","","","","","","","","","","","","","","","","",""
"40","0.0013","0.0076","0.0000","0.0002","0.0009","0.0048","0.0000","0.0264","27.0240","0.0001","19.5374","40.5000","","","","","","","","","","","","","","","","","","","","","","",""
"41","0.0013","0.0076","0.0000","0.0002","0.0011","0.0056","0.0000","0.0257","26.7609","0.0001","17.8963","41.5000","","","","","","","","","","","","","","","","","","","","","","",""
"42","0.0013","0.0076","0.0000","0.0002","0.0013","0.0066","0.0000","0.0250","26.4745","0.0002","16.3213","42.5000","","","","","","","","","","","","","","","","","","","","","","",""
"43","0.0013","0.0076","0.0000","0.0002","0.0015","0.0078","0.0000","0.0242","26.1623","0.0002","14.8540","43.5000","","","","","","","","","","","","","","","","","","","","","","",""
"44","0.0013","0.0076","0.0000","0.0002","0.0017","0.0092","0.0000","0.0235","25.8239","0.0002","13.5385","44.5000","","","","","","","","","","","","","","","","","","","","","","",""
"45","0.0025","0.0162","0.0000","0.0003","0.0019","0.0107","0.0000","0.0228","25.4604","0.0002","12.3485","45.5000","","","","","","","","","","","","","","","","","","","","","","",""
"46","0.0025","0.0162","0.0000","0.0003","0.0021","0.0125","0.0000","0.0221","25.0731","0.0003","11.2633","46.5000","","","","","","","","","","","","","","","","","","","","","","",""
