"DisMod II input and output, database Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Females, Disease: stroke (Rates * ), sex: Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 27/07/2020, 4:51:13 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","","","","","","",""
"0","0.0001","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0185","50.8934","0.0000","95.2485","0.5000","","","","","","","","","","","","","","","","","","","","","","",""
"1","0.0001","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0185","50.8465","0.0000","92.6983","1.5000","","","","","","","","","","","","","","","","","","","","","","",""
"2","0.0001","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0185","50.7985","0.0000","90.5747","2.5000","","","","","","","","","","","","","","","","","","","","","","",""
"3","0.0001","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0185","50.7476","0.0000","88.6846","3.5000","","","","","","","","","","","","","","","","","","","","","","",""
"4","0.0001","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0184","50.6927","0.0000","87.2225","4.5000","","","","","","","","","","","","","","","","","","","","","","",""
"5","0.0001","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0183","50.6337","0.0000","86.0198","5.5000","","","","","","","","","","","","","","","","","","","","","","",""
"6","0.0001","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0182","50.5697","0.0000","85.0228","6.5000","","","","","","","","","","","","","","","","","","","","","","",""
"7","0.0001","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0182","50.5002","0.0000","84.2286","7.5000","","","","","","","","","","","","","","","","","","","","","","",""
"8","0.0001","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0181","50.4250","0.0000","83.6545","8.5000","","","","","","","","","","","","","","","","","","","","","","",""
"9","0.0001","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0180","50.3448","0.0000","83.2548","9.5000","","","","","","","","","","","","","","","","","","","","","","",""
