"DisMod II input and output, database Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Males, Disease: stroke (Rates), sex: Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 27/07/2020, 4:49:45 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","","","","","","",""
"0","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0180","49.5810","0.0000","21.3372","0.5000","","","","","","","","","","","","","","","","","","","","","","",""
"1","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0180","49.5112","0.0000","25.0189","1.5000","","","","","","","","","","","","","","","","","","","","","","",""
"2","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0179","49.4337","0.0000","28.6549","2.5000","","","","","","","","","","","","","","","","","","","","","","",""
"3","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0179","49.3483","0.0000","32.0411","3.5000","","","","","","","","","","","","","","","","","","","","","","",""
"4","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0178","49.2550","0.0000","35.1212","4.5000","","","","","","","","","","","","","","","","","","","","","","",""
"5","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0177","49.1543","0.0000","37.7361","5.5000","","","","","","","","","","","","","","","","","","","","","","",""
"6","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0177","49.0461","0.0000","39.7942","6.5000","","","","","","","","","","","","","","","","","","","","","","",""
"7","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0176","48.9304","0.0000","41.2654","7.5000","","","","","","","","","","","","","","","","","","","","","","",""
"8","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0175","48.8075","0.0000","42.1702","8.5000","","","","","","","","","","","","","","","","","","","","","","",""
"9","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0174","48.6781","0.0000","42.5291","9.5000","","","","","","","","","","","","","","","","","","","","","","",""
"10","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0173","48.5432","0.0000","42.3878","10.5000","","","","","","","","","","","","","","","","","","","","","","",""
"11","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0173","48.4032","0.0000","41.8108","11.5000","","","","","","","","","","","","","","","","","","","","","","",""
"12","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0173","48.2588","0.0000","40.8742","12.5000","","","","","","","","","","","","","","","","","","","","","","",""
"13","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0171","48.1083","0.0000","39.4267","13.5000","","","","","","","","","","","","","","","","","","","","","","",""
"14","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0169","47.9469","0.0000","37.5512","14.5000","","","","","","","","","","","","","","","","","","","","","","",""
"15","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0166","47.7697","0.0000","35.3567","15.5000","","","","","","","","","","","","","","","","","","","","","","",""
"16","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0161","47.5716","0.0000","32.9464","16.5000","","","","","","","","","","","","","","","","","","","","","","",""
"17","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0156","47.3476","0.0000","30.4115","17.5000","","","","","","","","","","","","","","","","","","","","","","",""
"18","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0149","47.0927","0.0000","27.8284","18.5000","","","","","","","","","","","","","","","","","","","","","","",""
"19","0.0000","0.0001","0.0000","0.0000","0.0000","0.0002","0.0000","0.0142","46.8024","0.0000","25.3054","19.5000","","","","","","","","","","","","","","","","","","","","","","",""
"20","0.0001","0.0003","0.0000","0.0000","0.0000","0.0002","0.0000","0.0135","46.4756","0.0000","23.0483","20.5000","","","","","","","","","","","","","","","","","","","","","","",""
"21","0.0001","0.0003","0.0000","0.0000","0.0000","0.0002","0.0000","0.0128","46.1135","0.0000","21.0568","21.5000","","","","","","","","","","","","","","","","","","","","","","",""
"22","0.0001","0.0003","0.0000","0.0000","0.0000","0.0003","0.0000","0.0122","45.7173","0.0000","19.3241","22.5000","","","","","","","","","","","","","","","","","","","","","","",""
"23","0.0001","0.0003","0.0000","0.0000","0.0000","0.0003","0.0000","0.0116","45.2883","0.0000","17.8296","23.5000","","","","","","","","","","","","","","","","","","","","","","",""
"24","0.0001","0.0003","0.0000","0.0000","0.0001","0.0003","0.0000","0.0110","44.8277","0.0000","16.5187","24.5000","","","","","","","","","","","","","","","","","","","","","","",""
"25","0.0001","0.0006","0.0000","0.0000","0.0001","0.0004","0.0000","0.0105","44.3382","0.0000","15.4203","25.5000","","","","","","","","","","","","","","","","","","","","","","",""
"26","0.0001","0.0006","0.0000","0.0000","0.0001","0.0005","0.0000","0.0100","43.8232","0.0000","14.4511","26.5000","","","","","","","","","","","","","","","","","","","","","","",""
"27","0.0001","0.0006","0.0000","0.0000","0.0001","0.0006","0.0000","0.0097","43.2854","0.0000","13.5776","27.5000","","","","","","","","","","","","","","","","","","","","","","",""
"28","0.0001","0.0006","0.0000","0.0000","0.0001","0.0006","0.0000","0.0093","42.7276","0.0000","12.7779","28.5000","","","","","","","","","","","","","","","","","","","","","","",""
"29","0.0001","0.0006","0.0000","0.0000","0.0001","0.0008","0.0000","0.0091","42.1527","0.0000","12.0524","29.5000","","","","","","","","","","","","","","","","","","","","","","",""
"30","0.0002","0.0013","0.0000","0.0000","0.0001","0.0009","0.0000","0.0089","41.5633","0.0000","11.4043","30.5000","","","","","","","","","","","","","","","","","","","","","","",""
"31","0.0002","0.0013","0.0000","0.0000","0.0002","0.0010","0.0000","0.0087","40.9619","0.0000","10.8235","31.5000","","","","","","","","","","","","","","","","","","","","","","",""
"32","0.0002","0.0013","0.0000","0.0000","0.0002","0.0012","0.0000","0.0086","40.3495","0.0000","10.2477","32.5000","","","","","","","","","","","","","","","","","","","","","","",""
"33","0.0002","0.0013","0.0000","0.0000","0.0002","0.0014","0.0000","0.0084","39.7258","0.0000","9.6816","33.5000","","","","","","","","","","","","","","","","","","","","","","",""
"34","0.0002","0.0013","0.0000","0.0000","0.0003","0.0016","0.0000","0.0082","39.0906","0.0000","9.1218","34.5000","","","","","","","","","","","","","","","","","","","","","","",""
"35","0.0003","0.0033","0.0000","0.0000","0.0003","0.0019","0.0000","0.0080","38.4438","0.0000","8.5642","35.5000","","","","","","","","","","","","","","","","","","","","","","",""
"36","0.0003","0.0033","0.0000","0.0000","0.0003","0.0022","0.0000","0.0078","37.7853","0.0000","8.0062","36.5000","","","","","","","","","","","","","","","","","","","","","","",""
"37","0.0003","0.0033","0.0000","0.0000","0.0004","0.0025","0.0000","0.0076","37.1154","0.0000","7.4595","37.5000","","","","","","","","","","","","","","","","","","","","","","",""
"38","0.0003","0.0033","0.0000","0.0000","0.0004","0.0029","0.0000","0.0074","36.4348","0.0000","6.9328","38.5000","","","","","","","","","","","","","","","","","","","","","","",""
"39","0.0003","0.0033","0.0000","0.0000","0.0005","0.0034","0.0000","0.0072","35.7445","0.0000","6.4338","39.5000","","","","","","","","","","","","","","","","","","","","","","",""
"40","0.0005","0.0076","0.0000","0.0000","0.0006","0.0039","0.0000","0.0071","35.0454","0.0000","5.9700","40.5000","","","","","","","","","","","","","","","","","","","","","","",""
"41","0.0005","0.0076","0.0000","0.0000","0.0006","0.0044","0.0000","0.0069","34.3383","0.0000","5.5459","41.5000","","","","","","","","","","","","","","","","","","","","","","",""
"42","0.0005","0.0076","0.0000","0.0000","0.0007","0.0050","0.0000","0.0068","33.6241","0.0000","5.1639","42.5000","","","","","","","","","","","","","","","","","","","","","","",""
"43","0.0005","0.0076","0.0000","0.0000","0.0007","0.0057","0.0000","0.0067","32.9034","0.0000","4.8247","43.5000","","","","","","","","","","","","","","","","","","","","","","",""
"44","0.0005","0.0076","0.0000","0.0000","0.0008","0.0064","0.0000","0.0066","32.1768","0.0000","4.5135","44.5000","","","","","","","","","","","","","","","","","","","","","","",""
"45","0.0007","0.0162","0.0000","0.0001","0.0009","0.0072","0.0000","0.0065","31.4445","0.0000","4.2249","45.5000","","","","","","","","","","","","","","","","","","","","","","",""
"46","0.0007","0.0162","0.0000","0.0001","0.0010","0.0081","0.0000","0.0064","30.7069","0.0001","3.9548","46.5000","","","","","","","","","","","","","","","","","","","","","","",""
"47","0.0007","0.0162","0.0000","0.0001","0.0011","0.0091","0.0000","0.0063","29.9644","0.0001","3.6998","47.5000","","","","","","","","","","","","","","","","","","","","","","",""
"48","0.0007","0.0162","0.0000","0.0001","0.0012","0.0101","0.0000","0.0062","29.2177","0.0001","3.4585","48.5000","","","","","","","","","","","","","","","","","","","","","","",""
