"DisMod II input and output, database Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Females, Disease: tracheal, bronchus, and lung cancer (Rates * ), sex: Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 27/07/2020, 4:52:12 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","","","","","","",""
"0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0819","17.1132","0.0000","417.5657","0.5000","","","","","","","","","","","","","","","","","","","","","","",""
"1","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0819","17.5360","0.0000","406.2940","1.5000","","","","","","","","","","","","","","","","","","","","","","",""
"2","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0806","17.9830","0.0000","390.9878","2.5000","","","","","","","","","","","","","","","","","","","","","","",""
"3","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0763","18.4148","0.0000","363.6280","3.5000","","","","","","","","","","","","","","","","","","","","","","",""
"4","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0726","18.8041","0.0000","341.1148","4.5000","","","","","","","","","","","","","","","","","","","","","","",""
"5","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0679","19.1405","0.0000","315.9326","5.5000","","","","","","","","","","","","","","","","","","","","","","",""
"6","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0623","19.3988","0.0000","287.7935","6.5000","","","","","","","","","","","","","","","","","","","","","","",""
"7","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0563","19.5580","0.0000","259.1400","7.5000","","","","","","","","","","","","","","","","","","","","","","",""
"8","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0509","19.6128","0.0000","233.9435","8.5000","","","","","","","","","","","","","","","","","","","","","","",""
"9","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0462","19.5685","0.0000","211.9217","9.5000","","","","","","","","","","","","","","","","","","","","","","",""
"10","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0420","19.4328","0.0000","192.8681","10.5000","","","","","","","","","","","","","","","","","","","","","","",""
"11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0384","19.2144","0.0000","176.6351","11.5000","","","","","","","","","","","","","","","","","","","","","","",""
"12","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0354","18.9232","0.0000","163.1197","12.5000","","","","","","","","","","","","","","","","","","","","","","",""
"13","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0334","18.5731","0.0000","153.8302","13.5000","","","","","","","","","","","","","","","","","","","","","","",""
"14","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0317","18.1760","0.0000","145.9748","14.5000","","","","","","","","","","","","","","","","","","","","","","",""
"15","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0304","17.7379","0.0000","139.5023","15.5000","","","","","","","","","","","","","","","","","","","","","","",""
"16","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0294","17.2651","0.0000","134.3622","16.5000","","","","","","","","","","","","","","","","","","","","","","",""
"17","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0288","16.7637","0.0000","130.4983","17.5000","","","","","","","","","","","","","","","","","","","","","","",""
"18","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0285","16.2395","0.0000","127.8417","18.5000","","","","","","","","","","","","","","","","","","","","","","",""
"19","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0289","15.7009","0.0000","128.0532","19.5000","","","","","","","","","","","","","","","","","","","","","","",""
