"DisMod II input and output, database Australia-AIHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Females, Disease: Lung cancer (Rates * ), sex: Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 28/07/2020, 3:02:16 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","",""
"0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","40.5612","0.0000","0.0000","0.5000","","","","","","","","","","","","","","","","","",""
"1","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","39.6281","0.0000","0.0000","1.5000","","","","","","","","","","","","","","","","","",""
"2","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","38.6353","0.0000","1.0000","2.5000","","","","","","","","","","","","","","","","","",""
"3","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","37.6404","0.0000","1.0000","3.5000","","","","","","","","","","","","","","","","","",""
"4","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","36.6440","0.0000","1.0000","4.5000","","","","","","","","","","","","","","","","","",""
"5","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","35.6469","0.0000","1.0000","5.5000","","","","","","","","","","","","","","","","","",""
"6","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","34.6495","0.0000","1.0000","6.5000","","","","","","","","","","","","","","","","","",""
"7","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","33.6517","0.0000","1.0000","7.5000","","","","","","","","","","","","","","","","","",""
"8","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","32.6538","0.0000","1.0000","8.5000","","","","","","","","","","","","","","","","","",""
"9","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","31.6564","0.0000","1.0000","9.5000","","","","","","","","","","","","","","","","","",""
"10","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","30.6586","0.0000","1.0000","10.5000","","","","","","","","","","","","","","","","","",""
"11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","29.6598","0.0000","1.0000","11.5000","","","","","","","","","","","","","","","","","",""
"12","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","28.6611","0.0000","1.0000","12.5000","","","","","","","","","","","","","","","","","",""
"13","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","27.6636","0.0000","0.0000","13.5000","","","","","","","","","","","","","","","","","",""
"14","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","26.6669","0.0000","0.0000","14.5000","","","","","","","","","","","","","","","","","",""
"15","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","25.6705","0.0000","0.0000","15.5000","","","","","","","","","","","","","","","","","",""
"16","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","24.6755","0.0000","1.0000","16.5000","","","","","","","","","","","","","","","","","",""
"17","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","23.6810","0.0000","0.0000","17.5000","","","","","","","","","","","","","","","","","",""
"18","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","22.6856","0.0000","0.0000","18.5000","","","","","","","","","","","","","","","","","",""
"19","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","21.6904","0.0000","1.0000","19.5000","","","","","","","","","","","","","","","","","",""
"20","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","20.6952","0.0000","1.0000","20.5000","","","","","","","","","","","","","","","","","",""
"21","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","19.6996","0.0000","1.0000","21.5000","","","","","","","","","","","","","","","","","",""
"22","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","18.7040","0.0000","1.0000","22.5000","","","","","","","","","","","","","","","","","",""
"23","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","17.7076","0.0000","1.0000","23.5000","","","","","","","","","","","","","","","","","",""
"24","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","24.5000","","","","","","","","","","","","","","","","","",""
"25","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0017","15.7282","0.0000","6.7235","25.5000","","","","","","","","","","","","","","","","","",""
"26","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0051","14.7833","0.0000","23.2497","26.5000","","","","","","","","","","","","","","","","","",""
"27","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0101","13.8950","0.0000","39.9133","27.5000","","","","","","","","","","","","","","","","","",""
"28","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0169","13.0797","0.0000","69.2928","28.5000","","","","","","","","","","","","","","","","","",""
"29","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0253","12.3504","0.0000","93.5511","29.5000","","","","","","","","","","","","","","","","","",""
"30","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0355","11.7184","0.0000","132.4579","30.5000","","","","","","","","","","","","","","","","","",""
