"DisMod II input and output, database Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Males, Disease: tracheal, bronchus, and lung cancer (Rates * ), sex: Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 27/07/2020, 4:53:14 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","","","","","","",""
"0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0870","15.8923","0.0000","99.5623","0.5000","","","","","","","","","","","","","","","","","","","","","","",""
"1","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0870","16.3066","0.0000","117.4050","1.5000","","","","","","","","","","","","","","","","","","","","","","",""
"2","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0857","16.7449","0.0000","133.0369","2.5000","","","","","","","","","","","","","","","","","","","","","","",""
"3","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0811","17.1689","0.0000","141.8289","3.5000","","","","","","","","","","","","","","","","","","","","","","",""
"4","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0771","17.5516","0.0000","148.7039","4.5000","","","","","","","","","","","","","","","","","","","","","","",""
"5","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0721","17.8828","0.0000","150.3978","5.5000","","","","","","","","","","","","","","","","","","","","","","",""
"6","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0662","18.1372","0.0000","146.4584","6.5000","","","","","","","","","","","","","","","","","","","","","","",""
"7","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0599","18.2937","0.0000","138.2751","7.5000","","","","","","","","","","","","","","","","","","","","","","",""
"8","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0542","18.3467","0.0000","128.6172","8.5000","","","","","","","","","","","","","","","","","","","","","","",""
"9","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0491","18.3013","0.0000","118.1933","9.5000","","","","","","","","","","","","","","","","","","","","","","",""
"10","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0447","18.1647","0.0000","107.6478","10.5000","","","","","","","","","","","","","","","","","","","","","","",""
"11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0409","17.9456","0.0000","97.5195","11.5000","","","","","","","","","","","","","","","","","","","","","","",""
"12","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0378","17.6536","0.0000","88.2209","12.5000","","","","","","","","","","","","","","","","","","","","","","",""
"13","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0356","17.3028","0.0000","80.9114","13.5000","","","","","","","","","","","","","","","","","","","","","","",""
"14","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0339","16.9050","0.0000","74.2950","14.5000","","","","","","","","","","","","","","","","","","","","","","",""
"15","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0325","16.4669","0.0000","68.4944","15.5000","","","","","","","","","","","","","","","","","","","","","","",""
"16","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0316","15.9950","0.0000","63.5720","16.5000","","","","","","","","","","","","","","","","","","","","","","",""
"17","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0310","15.4955","0.0000","59.5448","17.5000","","","","","","","","","","","","","","","","","","","","","","",""
"18","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0308","14.9743","0.0000","56.4005","18.5000","","","","","","","","","","","","","","","","","","","","","","",""
"19","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0314","14.4402","0.0000","54.8406","19.5000","","","","","","","","","","","","","","","","","","","","","","",""
"20","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0325","13.9014","0.0000","54.0943","20.5000","","","","","","","","","","","","","","","","","","","","","","",""
"21","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0340","13.3627","0.0000","54.1399","21.5000","","","","","","","","","","","","","","","","","","","","","","",""
"22","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0359","12.8283","0.0000","54.9753","22.5000","","","","","","","","","","","","","","","","","","","","","","",""
"23","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0382","12.3020","0.0000","56.5945","23.5000","","","","","","","","","","","","","","","","","","","","","","",""
"24","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0410","11.7870","0.0000","58.8898","24.5000","","","","","","","","","","","","","","","","","","","","","","",""
"25","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0444","11.2877","0.0000","62.1094","25.5000","","","","","","","","","","","","","","","","","","","","","","",""
"26","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0482","10.8071","0.0000","65.5060","26.5000","","","","","","","","","","","","","","","","","","","","","","",""
"27","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0522","10.3456","0.0000","68.9280","27.5000","","","","","","","","","","","","","","","","","","","","","","",""
"28","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0565","9.9035","0.0000","72.2276","28.5000","","","","","","","","","","","","","","","","","","","","","","",""
"29","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0611","9.4809","0.0000","75.3619","29.5000","","","","","","","","","","","","","","","","","","","","","","",""
"30","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0660","9.0778","0.0000","78.3246","30.5000","","","","","","","","","","","","","","","","","","","","","","",""
"31","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0711","8.6942","0.0000","81.1527","31.5000","","","","","","","","","","","","","","","","","","","","","","",""
"32","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0763","8.3291","0.0000","83.5520","32.5000","","","","","","","","","","","","","","","","","","","","","","",""
"33","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0816","7.9803","0.0000","85.5564","33.5000","","","","","","","","","","","","","","","","","","","","","","",""
"34","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0868","7.6455","0.0000","87.1217","34.5000","","","","","","","","","","","","","","","","","","","","","","",""
"35","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0921","7.3225","0.0000","88.1815","35.5000","","","","","","","","","","","","","","","","","","","","","","",""
"36","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0975","7.0091","0.0000","88.6699","36.5000","","","","","","","","","","","","","","","","","","","","","","",""
"37","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.1035","6.7056","0.0000","89.1454","37.5000","","","","","","","","","","","","","","","","","","","","","","",""
"38","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.1103","6.4145","0.0000","89.4553","38.5000","","","","","","","","","","","","","","","","","","","","","","",""
"39","0.0000","0.0001","0.0000","0.0000","0.0000","0.0002","0.0000","0.1179","6.1383","0.0000","89.6108","39.5000","","","","","","","","","","","","","","","","","","","","","","",""
"40","0.0001","0.0002","0.0000","0.0000","0.0000","0.0002","0.0000","0.1261","5.8790","0.0000","89.6647","40.5000","","","","","","","","","","","","","","","","","","","","","","",""
"41","0.0001","0.0002","0.0000","0.0000","0.0001","0.0002","0.0000","0.1351","5.6391","0.0000","89.6790","41.5000","","","","","","","","","","","","","","","","","","","","","","",""
"42","0.0001","0.0002","0.0000","0.0000","0.0001","0.0002","0.0000","0.1449","5.4213","0.0000","89.7241","42.5000","","","","","","","","","","","","","","","","","","","","","","",""
"43","0.0001","0.0002","0.0000","0.0000","0.0001","0.0003","0.0000","0.1547","5.2270","0.0000","89.5019","43.5000","","","","","","","","","","","","","","","","","","","","","","",""
"44","0.0001","0.0002","0.0000","0.0000","0.0001","0.0003","0.0000","0.1640","5.0546","0.0001","88.6090","44.5000","","","","","","","","","","","","","","","","","","","","","","",""
"45","0.0002","0.0006","0.0000","0.0001","0.0001","0.0004","0.0000","0.1726","4.9012","0.0001","87.0737","45.5000","","","","","","","","","","","","","","","","","","","","","","",""
"46","0.0002","0.0006","0.0000","0.0001","0.0001","0.0004","0.0000","0.1807","4.7642","0.0001","84.9187","46.5000","","","","","","","","","","","","","","","","","","","","","","",""
"47","0.0002","0.0006","0.0000","0.0001","0.0002","0.0005","0.0000","0.1881","4.6411","0.0001","82.1672","47.5000","","","","","","","","","","","","","","","","","","","","","","",""
"48","0.0002","0.0006","0.0000","0.0001","0.0002","0.0005","0.0000","0.1950","4.5296","0.0001","78.8697","48.5000","","","","","","","","","","","","","","","","","","","","","","",""
"49","0.0002","0.0006","0.0000","0.0001","0.0002","0.0006","0.0000","0.2011","4.4275","0.0001","75.1266","49.5000","","","","","","","","","","","","","","","","","","","","","","",""
"50","0.0004","0.0011","0.0000","0.0002","0.0002","0.0007","0.0000","0.2072","4.3333","0.0001","71.2971","50.5000","","","","","","","","","","","","","","","","","","","","","","",""
"51","0.0004","0.0011","0.0000","0.0002","0.0003","0.0008","0.0000","0.2131","4.2471","0.0002","67.4680","51.5000","","","","","","","","","","","","","","","","","","","","","","",""
"52","0.0004","0.0011","0.0000","0.0002","0.0003","0.0009","0.0000","0.2189","4.1691","0.0002","63.7118","52.5000","","","","","","","","","","","","","","","","","","","","","","",""
"53","0.0004","0.0011","0.0000","0.0002","0.0004","0.0011","0.0000","0.2247","4.1001","0.0002","60.0811","53.5000","","","","","","","","","","","","","","","","","","","","","","",""
"54","0.0004","0.0011","0.0000","0.0002","0.0004","0.0012","0.0000","0.2303","4.0409","0.0003","56.5944","54.5000","","","","","","","","","","","","","","","","","","","","","","",""
"55","0.0008","0.0022","0.0000","0.0005","0.0005","0.0014","0.0000","0.2353","3.9917","0.0003","53.1383","55.5000","","","","","","","","","","","","","","","","","","","","","","",""
"56","0.0008","0.0022","0.0000","0.0005","0.0006","0.0016","0.0000","0.2397","3.9520","0.0004","49.7695","56.5000","","","","","","","","","","","","","","","","","","","","","","",""
"57","0.0008","0.0022","0.0000","0.0005","0.0007","0.0018","0.0000","0.2436","3.9215","0.0004","46.5106","57.5000","","","","","","","","","","","","","","","","","","","","","","",""
"58","0.0008","0.0022","0.0000","0.0005","0.0008","0.0020","0.0000","0.2469","3.9004","0.0005","43.3759","58.5000","","","","","","","","","","","","","","","","","","","","","","",""
"59","0.0008","0.0022","0.0000","0.0005","0.0009","0.0023","0.0000","0.2497","3.8886","0.0006","40.3663","59.5000","","","","","","","","","","","","","","","","","","","","","","",""
"60","0.0013","0.0035","0.0000","0.0009","0.0010","0.0026","0.0000","0.2519","3.8867","0.0007","37.4796","60.5000","","","","","","","","","","","","","","","","","","","","","","",""
"61","0.0013","0.0035","0.0000","0.0009","0.0011","0.0029","0.0000","0.2528","3.8934","0.0007","34.6100","61.5000","","","","","","","","","","","","","","","","","","","","","","",""
"62","0.0013","0.0035","0.0000","0.0009","0.0012","0.0033","0.0000","0.2529","3.9070","0.0008","31.8488","62.5000","","","","","","","","","","","","","","","","","","","","","","",""
"63","0.0013","0.0035","0.0000","0.0009","0.0014","0.0037","0.0000","0.2522","3.9261","0.0009","29.1999","63.5000","","","","","","","","","","","","","","","","","","","","","","",""
"64","0.0013","0.0035","0.0000","0.0009","0.0015","0.0041","0.0000","0.2508","3.9494","0.0010","26.6672","64.5000","","","","","","","","","","","","","","","","","","","","","","",""
"65","0.0022","0.0055","0.0000","0.0014","0.0017","0.0046","0.0000","0.2485","3.9747","0.0012","24.2539","65.5000","","","","","","","","","","","","","","","","","","","","","","",""
"66","0.0022","0.0055","0.0000","0.0014","0.0018","0.0052","0.0000","0.2455","3.9995","0.0013","21.9631","66.5000","","","","","","","","","","","","","","","","","","","","","","",""
"67","0.0022","0.0055","0.0000","0.0014","0.0020","0.0057","0.0000","0.2419","4.0208","0.0014","19.8087","67.5000","","","","","","","","","","","","","","","","","","","","","","",""
"68","0.0022","0.0055","0.0000","0.0014","0.0022","0.0064","0.0000","0.2384","4.0370","0.0015","17.8463","68.5000","","","","","","","","","","","","","","","","","","","","","","",""
"69","0.0022","0.0055","0.0000","0.0014","0.0024","0.0071","0.0000","0.2350","4.0476","0.0017","16.0649","69.5000","","","","","","","","","","","","","","","","","","","","","","",""
"70","0.0032","0.0073","0.0000","0.0023","0.0026","0.0078","0.0000","0.2318","4.0525","0.0018","14.4544","70.5000","","","","","","","","","","","","","","","","","","","","","","",""
"71","0.0032","0.0073","0.0000","0.0023","0.0027","0.0085","0.0000","0.2288","4.0517","0.0020","13.0036","71.5000","","","","","","","","","","","","","","","","","","","","","","",""
"72","0.0032","0.0073","0.0000","0.0023","0.0029","0.0093","0.0000","0.2258","4.0450","0.0021","11.7009","72.5000","","","","","","","","","","","","","","","","","","","","","","",""
"73","0.0032","0.0073","0.0000","0.0023","0.0031","0.0102","0.0000","0.2230","4.0324","0.0023","10.5298","73.5000","","","","","","","","","","","","","","","","","","","","","","",""
"74","0.0032","0.0073","0.0000","0.0023","0.0033","0.0110","0.0000","0.2200","4.0135","0.0024","9.4693","74.5000","","","","","","","","","","","","","","","","","","","","","","",""
"75","0.0040","0.0080","0.0000","0.0030","0.0035","0.0119","0.0000","0.2170","3.9875","0.0026","8.5073","75.5000","","","","","","","","","","","","","","","","","","","","","","",""
"76","0.0040","0.0080","0.0000","0.0030","0.0036","0.0128","0.0000","0.2139","3.9539","0.0027","7.6338","76.5000","","","","","","","","","","","","","","","","","","","","","","",""
"77","0.0040","0.0080","0.0000","0.0030","0.0038","0.0137","0.0000","0.2107","3.9122","0.0029","6.8405","77.5000","","","","","","","","","","","","","","","","","","","","","","",""
"78","0.0040","0.0080","0.0000","0.0030","0.0040","0.0146","0.0000","0.2074","3.8623","0.0030","6.1219","78.5000","","","","","","","","","","","","","","","","","","","","","","",""
"79","0.0040","0.0080","0.0000","0.0030","0.0041","0.0155","0.0000","0.2042","3.8042","0.0032","5.4816","79.5000","","","","","","","","","","","","","","","","","","","","","","",""
"80","0.0045","0.0073","0.0000","0.0037","0.0042","0.0164","0.0000","0.2011","3.7390","0.0033","4.9189","80.5000","","","","","","","","","","","","","","","","","","","","","","",""
"81","0.0045","0.0073","0.0000","0.0037","0.0043","0.0173","0.0000","0.1982","3.6679","0.0034","4.4289","81.5000","","","","","","","","","","","","","","","","","","","","","","",""
"82","0.0045","0.0073","0.0000","0.0037","0.0045","0.0182","0.0000","0.1954","3.5924","0.0036","4.0058","82.5000","","","","","","","","","","","","","","","","","","","","","","",""
"83","0.0045","0.0073","0.0000","0.0037","0.0046","0.0191","0.0000","0.1928","3.5143","0.0037","3.6418","83.5000","","","","","","","","","","","","","","","","","","","","","","",""
"84","0.0045","0.0073","0.0000","0.0037","0.0047","0.0200","0.0000","0.1903","3.4358","0.0038","3.3250","84.5000","","","","","","","","","","","","","","","","","","","","","","",""
"85","0.0051","0.0075","0.0000","0.0042","0.0048","0.0209","0.0000","0.1870","3.3586","0.0039","3.0347","85.5000","","","","","","","","","","","","","","","","","","","","","","",""
"86","0.0051","0.0075","0.0000","0.0042","0.0048","0.0217","0.0000","0.1827","3.2836","0.0040","2.7655","86.5000","","","","","","","","","","","","","","","","","","","","","","",""
"87","0.0051","0.0075","0.0000","0.0042","0.0048","0.0225","0.0000","0.1774","3.2133","0.0040","2.5158","87.5000","","","","","","","","","","","","","","","","","","","","","","",""
"88","0.0051","0.0075","0.0000","0.0042","0.0047","0.0232","0.0000","0.1710","3.1522","0.0040","2.2875","88.5000","","","","","","","","","","","","","","","","","","","","","","",""
"89","0.0051","0.0075","0.0000","0.0042","0.0046","0.0240","0.0000","0.1637","3.1057","0.0039","2.0914","89.5000","","","","","","","","","","","","","","","","","","","","","","",""
"90","0.0045","0.0059","0.0000","0.0037","0.0045","0.0246","0.0000","0.1554","3.0755","0.0038","1.9334","90.5000","","","","","","","","","","","","","","","","","","","","","","",""
"91","0.0045","0.0059","0.0000","0.0037","0.0043","0.0253","0.0000","0.1464","3.0569","0.0037","1.8155","91.5000","","","","","","","","","","","","","","","","","","","","","","",""
"92","0.0045","0.0059","0.0000","0.0037","0.0042","0.0259","0.0000","0.1377","3.0352","0.0036","1.7407","92.5000","","","","","","","","","","","","","","","","","","","","","","",""
"93","0.0045","0.0059","0.0000","0.0037","0.0040","0.0264","0.0000","0.1292","2.9818","0.0034","1.7077","93.5000","","","","","","","","","","","","","","","","","","","","","","",""
"94","0.0045","0.0059","0.0000","0.0037","0.0038","0.0270","0.0000","0.1211","2.8516","0.0033","1.7197","94.5000","","","","","","","","","","","","","","","","","","","","","","",""
"95","0.0030","0.0018","0.0000","0.0025","0.0037","0.0275","0.0000","0.1132","2.7136","0.0031","1.5005","95.5000","","","","","","","","","","","","","","","","","","","","","","",""
"96","0.0030","0.0018","0.0000","0.0025","0.0035","0.0281","0.0000","0.1056","2.6273","0.0030","1.4299","96.5000","","","","","","","","","","","","","","","","","","","","","","",""
"97","0.0030","0.0018","0.0000","0.0025","0.0034","0.0286","0.0000","0.0994","2.5468","0.0028","1.3730","97.5000","","","","","","","","","","","","","","","","","","","","","","",""
"98","0.0030","0.0018","0.0000","0.0025","0.0033","0.0291","0.0000","0.0925","2.4767","0.0027","1.3209","98.5000","","","","","","","","","","","","","","","","","","","","","","",""
"99","0.0030","0.0018","0.0000","0.0025","0.0031","0.0297","0.0000","0.0862","2.4226","0.0026","1.2768","99.5000","","","","","","","","","","","","","","","","","","","","","","",""
"100+","0.0030","0.0018","0.0000","0.0025","0.0031","0.0302","0.0000","0.0837","2.3996","0.0025","1.2496","102.4802","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All ages","NA","0.0018","NA","0.0006","0.0008","0.0027","0.0000","0.2092","3.8774","0.0006","16.9229","72.0935","","","","","","","","","","","","","","","","","","","","","","",""
