"DisMod II input and output, database Australia","","","","","","","","","","","",""
"Females, Disease: Uterine cancer (Rates * ), sex: Females","","","","","","","","","","","",""
"Written 27/07/2020, 4:58:58 PM","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0039","68.9498","0.0000","20.7393","0.5000"
"1","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0039","68.2298","0.0000","20.2052","1.5000"
"2","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0038","67.5057","0.0000","19.5696","2.5000"
"3","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0037","66.7727","0.0000","18.5610","3.5000"
"4","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0036","66.0280","0.0000","17.7373","4.5000"
"5","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0034","65.2714","0.0000","16.8449","5.5000"
"6","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0032","64.5010","0.0000","15.8709","6.5000"
"7","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0030","63.7155","0.0000","14.8739","7.5000"
"8","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0028","62.9150","0.0000","13.9831","8.5000"
"9","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0027","62.1007","0.0000","13.1864","9.5000"
"10","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0025","61.2740","0.0000","12.4741","10.5000"
"11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0024","60.4359","0.0000","11.8386","11.5000"
"12","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0022","59.5876","0.0000","11.2736","12.5000"
"13","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0022","58.7307","0.0000","10.8525","13.5000"
"14","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0021","57.8669","0.0000","10.4997","14.5000"
"15","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0020","56.9972","0.0000","10.2114","15.5000"
"16","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0020","56.1228","0.0000","9.9838","16.5000"
"17","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0020","55.2448","0.0000","9.8128","17.5000"
"18","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0019","54.3641","0.0000","9.6934","18.5000"
"19","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0020","53.4823","0.0000","9.7246","19.5000"
"20","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0020","52.6012","0.0000","9.8205","20.5000"
"21","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0021","51.7220","0.0000","9.9700","21.5000"
"22","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0022","50.8459","0.0000","10.1601","22.5000"
"23","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0024","49.9739","0.0000","10.3778","23.5000"
"24","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0025","49.1072","0.0000","10.6162","24.5000"
"25","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0027","48.2477","0.0000","11.0392","25.5000"
