"","Year","Female_CVDHosp_F","Male_CVDHosp_F","ERP_rateFem_F","ERP_rateMale_F","ERP"
"1",2001,1573.57309941522,2539.48538011697,303301.509928716,489478.21395626,19274701
"2",2002,1561.70829033369,2520.06226350191,304458.310787962,491291.430400451,19495210
"3",2003,1549.84348125216,2500.63914688684,305640.556849383,493144.469476597,19720737
"4",2004,1537.97867217063,2481.21603027177,306561.013143064,494573.893533509,19932722
"5",2005,1526.11386308911,2461.7929136567,307921.613417863,496712.115791568,20176844
"6",2006,1514.24905400758,2442.36979704163,309678.559190411,499488.216787253,20450966
"7",2007,1502.38424492605,2422.94668042657,312910.911520752,504642.175860794,20827622
"8",2008,1490.51943584453,2403.5235638115,316723.441056281,510729.505086197,21249199
"9",2009,1478.654626763,2384.10044719643,320744.630705874,517150.796177299,21691653
"10",2010,1466.78981768147,2364.67733058136,323159.465657037,520979.797780359,22031750
"11",2011,1454.92500859994,2345.2542139663,325030.596103229,523930.354261082,22340024
"12",2012,1443.06019951842,2325.83109735123,328057.585386449,528741.998475457,22733465
"13",2013,1431.19539043689,2306.40798073616,331008.716142297,533429.013050955,23128129
"14",2014,1419.33058135536,2286.98486412109,333197.590580959,536885.385568594,23475686
"15",2015,1407.46577227383,2267.56174750603,335201.977951447,540042.392407948,23815995
"16",2016,1395.6009631923,2248.13863089096,337608.531096955,543845.125429905,24190907
"17",2017,1383.73615411077,2228.71551427589,340424.831403717,548305.470620435,24601860
"18",2018,1371.87134502925,2209.29239766082,342730.337890061,551940.626715322,24982688
"19",2019,1360.00653594772,2189.86928104575,344956.232997845,555445.167343137,25364307
"20",2020,1348.14172686619,2170.44616443069,341946.806397443,550518.628415924,25364307
"21",2021,1336.27691778466,2151.02304781562,338937.37979704,545592.089488709,25364307
"22",2022,1324.41210870314,2131.59993120055,335927.953196638,540665.550561497,25364307
"23",2023,1312.54729962161,2112.17681458548,332918.526596235,535739.011634282,25364307
"24",2024,1300.68249054008,2092.75369797042,329909.099995833,530812.472707069,25364307
"25",2025,1288.81768145855,2073.33058135535,326899.673395429,525885.933779854,25364307
"26",2026,1276.95287237703,2053.90746474028,323890.246795027,520959.394852642,25364307
"27",2027,1265.0880632955,2034.48434812521,320880.820194624,516032.855925427,25364307
"28",2028,1253.22325421397,2015.06123151015,317871.393594222,511106.316998214,25364307
