"","Year","Female_CVD_F","Male_CVD_F","ERP_rateFem_F","ERP_rateMale_F","ERP"
"1",1981,214.07287449393,391.84210526316,31946.6516502028,58475.6161578951,14923260
"2",1982,208.973629499947,382.315789473687,31731.0720681369,58051.7737936846,15184247
"3",1983,203.874384505965,372.789473684214,31383.3462940981,57385.2432505268,15393472
"4",1984,198.775139511983,363.26315789474,30967.9561953673,56594.187727369,15579391
"5",1985,193.675894518001,353.736842105267,30578.1544952929,55849.0762905269,15788312
"6",1986,188.576649524019,344.210526315794,30206.8677390306,55136.8468421059,16018350
"7",1987,183.477404530038,334.684210526317,29840.5338912357,54432.6182978949,16263874
"8",1988,178.378159536056,325.157894736843,29489.7698746824,53755.6364168423,16532164
"9",1989,173.278914542074,315.63157894737,29135.8375313888,53071.6067115792,16814416
"10",1990,168.179669548092,306.105263157897,28700.0758783589,52237.2549726319,17065128
"11",1991,163.080424554109,296.578947368424,28186.8792888851,51260.8120315794,17284036
"12",1992,157.981179560129,287.05263157895,27612.9537440096,50172.8817315795,17478635
"13",1993,152.881934566147,277.526315789477,26960.4356274256,48941.2329389479,17634808
"14",1994,147.782689572165,268.000000000004,26313.3995013111,47718.6542400007,17805468
"15",1995,142.683444578182,258.473684210527,25689.9858298371,46537.881843158,18004882
"16",1996,137.5841995842,248.947368421053,25074.3998030355,45370.0778473686,18224767
"17",1997,132.48495459022,239.42105263158,24407.7522035894,44108.6291121055,18423037
"18",1998,127.385709596238,229.894736842107,23703.402917116,42777.856269474,18607584
"19",1999,122.286464602255,220.368421052633,23004.8525572428,41456.289141053,18812264
"20",2000,117.187219608273,210.84210526316,22299.3239885635,40120.7267431583,19028802
"21",2001,112.087974614291,201.315789473687,21604.6219638605,38803.0164868426,19274701
"22",2002,106.988729620309,191.789473684214,20857.6775158114,37389.7606526322,19495210
"23",2003,101.889484626328,182.263157894737,20093.3572938136,35943.6380163158,19720737
"24",2004,96.7902396323461,172.736842105263,19292.9293890494,34431.1545284211,19932722
"25",2005,91.6909946383639,163.21052631579,18500.3489502311,32930.7332863159,20176844
"26",2006,86.5917496443817,153.684210526317,17708.8492785776,31429.9056421055,20450966
"27",2007,81.4925046503995,144.157894736843,16972.9508269176,30024.6613989476,20827622
"28",2008,76.3932596564191,134.63157894737,16232.9557669792,28608.1321273688,21249199
"29",2009,71.2940146624369,125.105263157897,15464.8502703449,27137.3995689478,21691653
"30",2010,66.1947696684547,115.578947368424,14583.8661664298,25464.0647368427,22031750
"31",2011,61.0955246744725,106.05263157895,13648.7548752031,23692.1833473691,22340024
"32",2012,55.9962796804903,96.5263157894733,12729.8946424664,21943.7762157894,22733465
"33",2013,50.8970346865099,87,11771.5318394707,20121.47223,23128129
"34",2014,45.7977896925277,77.4736842105267,10751.3453031582,18187.4788378948,23475686
"35",2015,40.6985446985454,67.9473684210534,9692.76337047835,16182.3418657897,23815995
"36",2016,35.5992997045632,58.4210526315801,8611.79348418217,14132.5825105266,24190907
"37",2017,30.500054710581,48.8947368421068,7503.58075982055,12029.0147052635,24601860
"38",2018,25.4008097165988,39.3684210526335,6345.80504097157,9835.28980210574,24982688
"39",2019,20.3015647226184,29.8421052631602,5149.35120204864,7569.24319421111,25364307
"40",2020,15.2023197286362,20.3157894736833,3855.96304709286,5152.9592115787,25364307
"41",2021,10.103074734654,10.78947368421,2562.57489213708,2736.67522894722,25364307
"42",2022,5.00382974067179,1.26315789473665,1269.1867371813,320.391246315741,25364307
"43",2023,0,0,0,0,25364307
"44",2024,0,0,0,0,25364307
"45",2025,0,0,0,0,25364307
"46",2026,0,0,0,0,25364307
"47",2027,0,0,0,0,25364307
"48",2028,0,0,0,0,25364307
