"","Year","Female_DiabAll_F","Male_DiabAll_F","ERP_rateFem_F","ERP_rateMale_F","ERP"
"1",1997,44.403162055336,71.1185770750988,8180.41097462451,13102.201768419,18423037
"2",1998,44.4167137210615,71.1592320722755,8264.87731568605,13241.0138816036,18607584
"3",1999,44.4302653867871,71.1998870694523,8358.33882046302,13394.3107232072,18812264
"4",2000,44.4438170525127,71.240542066629,8457.12594816488,13556.2216935855,19028802
"5",2001,44.4573687182383,71.2811970638057,8569.02489290796,13739.2376032693,19274701
"6",2002,44.4709203839639,71.3218520609825,8669.69931778656,13904.3448351779,19495210
"7",2003,44.4844720496894,71.3625070581592,8772.66573875776,14073.212333546,19720737
"8",2004,44.498023715415,71.403162055336,8869.66736268775,14232.5937916996,19932722
"9",2005,44.5115753811406,71.4438170525127,8981.03112659514,14415.1075143309,20176844
"10",2006,44.5251270468662,71.4844720496894,9105.81859381141,14619.2650741615,20450966
"11",2007,44.5386787125917,71.5251270468662,9276.34764605308,14896.983096341,20827622
"12",2008,44.5522303783173,71.5657820440429,9466.9920920271,15207.1554424449,21249199
"13",2009,44.5657820440429,71.6064370412196,9667.05479773009,15532.6198486448,21691653
"14",2010,44.5793337097685,71.6470920383964,9821.60735460192,15785.1082001694,22031750
"15",2011,44.5928853754941,71.6877470355731,9962.06129517786,16015.0598928063,22340024
"16",2012,44.6064370412196,71.7284020327498,10140.5887525127,16306.3511711745,22733465
"17",2013,44.6199887069452,71.7690570299266,10319.7685479277,16598.840091965,23128129
"18",2014,44.6335403726708,71.8097120271033,10478.0297885714,16857.822512987,23475686
"19",2015,44.6470920383964,71.8503670242801,10633.1492075099,17111.8798179842,23815995
"20",2016,44.660643704122,71.8910220214568,10803.8147840655,17391.0902785601,24190907
"21",2017,44.6741953698475,71.9316770186335,10990.6830010164,17696.5304757764,24601860
"22",2018,44.6877470355731,71.9723320158103,11164.2004161265,17980.623153834,24982688
"23",2019,44.7012987012987,72.012987012987,11338.1746355844,18265.5951058442,25364307
"24",2020,44.7148503670243,72.0536420101637,11341.6119216827,18275.9069641389,25364307
"25",2021,44.7284020327498,72.0942970073405,11345.0492077809,18286.2188224336,25364307
"26",2022,44.7419536984754,72.1349520045172,11348.4864938792,18296.5306807284,25364307
"27",2023,44.755505364201,72.1756070016939,11351.9237799774,18306.8425390231,25364307
"28",2024,44.7690570299266,72.2162619988707,11355.3610660757,18317.1543973179,25364307
"29",2025,44.7826086956522,72.2569169960474,11358.7983521739,18327.4662556126,25364307
"30",2026,44.7961603613777,72.2975719932242,11362.2356382722,18337.7781139074,25364307
"31",2027,44.8097120271033,72.3382269904009,11365.6729243704,18348.0899722021,25364307
"32",2028,44.8232636928289,72.3788819875776,11369.1102104687,18358.4018304969,25364307
