"","SEX","age_group","Proportion","Proportion_se","Population","Population_se","Surveyed","MeanModWork","MeanModWork_se","QuantileModWork_q25","QuantileModWork_q50","QuantileModWork_q75","QuantileModWork_q90","QuantileModWork_q25_se","QuantileModWork_q50_se","QuantileModWork_q75_se","QuantileModWork_q90_se","MeanVigWork","MeanVigWork_se","QuantileVigWork_q25","QuantileVigWork_q50","QuantileVigWork_q75","QuantileVigWork_q90","QuantileVigWork_q25_se","QuantileVigWork_q50_se","QuantileVigWork_q75_se","QuantileVigWork_q90_se"
"1","female","15 to 17","4.79%",0.003,411393.7031,25821.3032,440,1.5904,0.3733,0,0,0,0,0,0,0,0,1.5904,0.3733,0,0,0,0,0,0,0,0
"2","female","18 to 19","3.54%",0.0034,304522.2636,29583.7754,166,2.5093,0.6627,0,0,0,0,0,0,0,0,2.5093,0.6627,0,0,0,0,0,0,0,0
"3","female","20 t8 24","9.21%",0.0053,791667.7948,48590.1382,446,4.4483,0.5739,0,0,0,0,0,0,0,0,4.4483,0.5739,0,0,0,0,0,0,0,0
"4","female","25 to 29","8.84%",0.0045,759745.9521,40704.7001,591,3.9379,0.5361,0,0,0,0,0,0,0,0,3.9379,0.5361,0,0,0,0,0,0,0,0
"5","female","30 to 34","12.48%",0.0052,1072348.2489,47829.9433,780,3.1781,0.4344,0,0,0,0,0,0,0,0,3.1781,0.4344,0,0,0,0,0,0,0,0
"6","female","35 to 39","9.62%",0.004,827150.8413,35254.9878,792,2.8579,0.4548,0,0,0,0,0,0,0,0,2.8579,0.4548,0,0,0,0,0,0,0,0
"7","female","40 to 44","9.35%",0.0041,803556.371,36211.2672,745,3.0952,0.4267,0,0,0,0,0,0,0,0,3.0952,0.4267,0,0,0,0,0,0,0,0
"8","female","45 to 49","9.12%",0.004,783668.2398,35221.767,747,3.5917,0.4391,0,0,0,0,0,0,0,0,3.5917,0.4391,0,0,0,0,0,0,0,0
"9","female","50 to 54","9.57%",0.0043,822636.7602,37963.2192,723,2.9268,0.5062,0,0,0,0,0,0,0,0,2.9268,0.5062,0,0,0,0,0,0,0,0
"10","female","55 to 59","8.72%",0.004,749681.6808,35489.2123,736,2.8778,0.4134,0,0,0,0,0,0,0,0,2.8778,0.4134,0,0,0,0,0,0,0,0
"11","female","60 to 64","8.09%",0.0036,695316.3192,31681.4657,743,3.5083,0.6617,0,0,0,0,0,0,0,0,3.5083,0.6617,0,0,0,0,0,0,0,0
"12","female","65 to 69","6.67%",0.0031,573685.2324,27244.1579,663,3.9675,1.4012,0,0,0,0,0,0,0,0,3.9675,1.4012,0,0,0,0,0,0,0,0
"13","male","15 to 17","5.16%",0.0031,434939.3606,26503.3202,438,3.7758,0.6891,0,0,0,2,0,0,0,1.5298,3.7758,0.6891,0,0,0,2,0,0,0,1.5298
"14","male","18 to 19","4.16%",0.0039,350654.6847,33920.5103,155,6.4753,1.2456,0,0,0,8.9246,0,0,0.7053,6.0966,6.4753,1.2456,0,0,0,8.9246,0,0,0.7053,6.0966
"15","male","20 t8 24","9.38%",0.0056,790458.4344,50323.8668,407,8.4999,0.9088,0,0,1.5,15,0,0,1.2704,5.0061,8.4999,0.9088,0,0,1.5,15,0,0,1.2704,5.0061
"16","male","25 to 29","10.73%",0.0055,903584.5949,49273.0734,554,6.2978,0.6853,0,0,0,4,0,0,0,1.4837,6.2978,0.6853,0,0,0,4,0,0,0,1.4837
"17","male","30 to 34","10.49%",0.0049,883392.5811,43167.0813,651,7.0117,0.6541,0,0,0,10,0,0,0.2546,3.876,7.0117,0.6541,0,0,0,10,0,0,0.2546,3.876
"18","male","35 to 39","10.09%",0.0044,850099.2072,38033.3106,675,5.7618,0.523,0,0,0,5.5975,0,0,0,1.7821,5.7618,0.523,0,0,0,5.5975,0,0,0,1.7821
"19","male","40 to 44","8.86%",0.0042,746603.4035,36084.2435,632,6.2699,0.6207,0,0,0,6.7207,0,0,0,2.889,6.2699,0.6207,0,0,0,6.7207,0,0,0,2.889
"20","male","45 to 49","9.62%",0.0044,810009.5069,37722.7373,705,6.3699,0.6149,0,0,0,5,0,0,0,2.0366,6.3699,0.6149,0,0,0,5,0,0,0,2.0366
"21","male","50 to 54","8.53%",0.0042,718266.4981,36040.677,625,6.8997,0.7897,0,0,0,3.2744,0,0,0,2.3474,6.8997,0.7897,0,0,0,3.2744,0,0,0,2.3474
"22","male","55 to 59","8.15%",0.004,686252.7671,34589.9553,667,6.2022,0.729,0,0,0,4,0,0,0,1.5266,6.2022,0.729,0,0,0,4,0,0,0,1.5266
"23","male","60 to 64","8.12%",0.004,683836.0799,34418.9309,643,4.6426,0.6687,0,0,0,3,0,0,0,2.2878,4.6426,0.6687,0,0,0,3,0,0,0,2.2878
"24","male","65 to 69","6.72%",0.0032,565787.6048,27390.2271,630,7.3183,1.4262,0,0,0,3,0,0,0,1.7729,7.3183,1.4262,0,0,0,3,0,0,0,1.7729
